Security,Post_Clustering_Return,Score,Block_ID,Cluster_ID
LBWR,858650.0222898966,5,0,60
HMBL,194110.0052423519,5,0,60
FBDS,113913.81390390682,6,7,16
PECN,99900.000291038,5,1,17
ITRX,87500.00018044369,5,1,17
BGUUF,79900.00023283061,5,0,60
PIFR,76390.00256768546,6,4,33
BLITF,43471.4311468241,6,9,47
SCAL,37439.999669671495,5,7,67
ENMI,33840.000199361115,5,0,60
ROCLF,29333.33258501568,5,7,67
OFSTF,17510.489582859158,5,7,67
LBTI,15078.316760489,6,3,14
ARAT,11840.000165154555,5,9,32
NSPT,11504.00026921032,6,9,47
KARE,10730.000037107324,5,9,73
CTNI,9900.000727595265,6,3,14
NEVE,9900.000223517503,5,0,60
SNRY,5389.999886205219,6,4,33
PLFF,5122.333301409719,5,8,37
ICNOF,4925.000205547668,5,8,37
AWRS,4900.000363797632,5,0,60
RADR,4900.000363797632,6,6,44
SPQS,4709.045388786302,5,8,37
CTPR,4099.999956344223,6,9,47
CYGT,3900.000291038307,5,6,43
PRDL,3440.000106228935,5,1,32
NHVP,2900.00021827838,5,1,17
CBYI,2710.000047293692,6,1,52
GRHY,2400.000007275912,5,1,32
CRGP,2200.0001324223604,6,3,14
LNDLF,2197.5001252628963,6,2,8
FUNR,2170.6153812402385,5,8,37
GYST,1728.0946184240267,6,6,44
MEGH,1708.999967985784,5,6,43
MBLV,1685.7143759955693,5,0,60
MVPT,1530.1444059168437,6,1,52
BLPG,1529.07524827638,6,4,33
CDSG,1522.9858043484553,5,1,32
BRPHF,1501.419524004478,6,2,8
LRMR,1442.8495076794338,5,1,32
PCLI,1334.3243226853908,5,1,32
FMBV,1318.161418307387,5,0,7
PDPG,1233.3333259198218,5,7,67
AMFL,1214.1414026702128,6,7,16
BWNAF,1199.999965075472,5,9,32
FDFT,1196.8750034105526,6,2,8
FONU,1157.1428696161624,5,8,37
KATX,1149.9999359717067,6,4,33
NIHK,1123.7775705969564,6,7,16
