Security,Pattern,Early_Quality,Late_Quality,Change,Final_Return,Initial_Quality_Tier,Quality_Drop_Magnitude
AHELF,Breakout (left high performers),14.3240952996728,2.273825926770549,-12.050269372902251,41896.99921660295,High (10-15%),Large (10-15%)
AGYP,Breakout (left high performers),12.024589764383174,4.6745014245014245,-7.35008833988175,12104.258875935337,High (10-15%),Medium (5-10%)
ALSI,Breakout (left high performers),11.246415151416294,4.594371630414575,-6.652043521001718,2124.522609433343,High (10-15%),Medium (5-10%)
AFML,Breakout (left high performers),10.939042957337506,4.365217681426691,-6.5738252759108144,800.0000072759125,High (10-15%),Medium (5-10%)
AMPE,Breakout (left high performers),13.420658933944836,2.746663196347165,-10.67399573759767,276.31318635458564,High (10-15%),Large (10-15%)
AOXY,Breakout (left high performers),11.013360927260065,4.524487857821192,-6.488873069438873,273.88911879303225,High (10-15%),Medium (5-10%)
AGYTF,Breakout (left high performers),10.375221933192948,4.773346056370187,-5.60187587682276,170.0000008765389,High (10-15%),Medium (5-10%)
ANTE,Breakout (left high performers),11.236378681480373,4.095363181882063,-7.14101549959831,126.00177705699738,High (10-15%),Medium (5-10%)
APEMY,Breakout (left high performers),10.73320346080375,2.8470216065496428,-7.886181854254108,118.01342007969632,High (10-15%),Medium (5-10%)
AAME,Breakout (left high performers),13.714150432900432,4.653590701535907,-9.060559731364524,80.30954255193019,High (10-15%),Medium (5-10%)
AMIGY,Breakout (left high performers),12.441164299843804,4.597232190026216,-7.843932109817589,68.22630969467546,High (10-15%),Medium (5-10%)
ANGGF,Breakout (left high performers),13.163379830046496,3.860737324994984,-9.30264250505151,65.71428717399131,High (10-15%),Medium (5-10%)
AEO,Breakout (left high performers),10.37184505123861,4.916771175970848,-5.455073875267763,62.5829879877714,High (10-15%),Medium (5-10%)
AIAGY,Breakout (left high performers),12.97734098716878,2.5830620965656905,-10.394278890603088,47.33991779777004,High (10-15%),Large (10-15%)
AFG,Breakout (left high performers),10.600917268734948,4.770164476046829,-5.830752792688119,26.320020933723463,High (10-15%),Medium (5-10%)
ACAN,Breakout (left high performers),12.132352941176473,3.493136901981826,-8.639216039194645,20.04095874925251,High (10-15%),Medium (5-10%)
ABCP,Breakout (left high performers),11.123578870265176,4.8571212465017775,-6.266457623763398,10.397668568916,High (10-15%),Medium (5-10%)
ACJJF,Breakout (left high performers),11.260122978872978,2.1045336067991998,-9.15558937207378,0.0,High (10-15%),Medium (5-10%)
AHEXF,Breakout (left high performers),11.173280842270389,3.915026349845526,-7.258254492424863,-7.087466194437637,High (10-15%),Medium (5-10%)
AACAF,Breakout (left high performers),11.998272195640617,3.5892901320136,-8.408982063627017,-13.591085111101492,High (10-15%),Medium (5-10%)
AGESY,Breakout (left high performers),10.96455268869062,4.633995755354042,-6.3305569333365765,-16.098240898986916,High (10-15%),Medium (5-10%)
AACAY,Breakout (left high performers),11.998272195640617,3.321684833585605,-8.676587362055011,-23.567729741152608,High (10-15%),Medium (5-10%)
AAALY,Breakout (left high performers),13.741904602555593,0.4177926418194386,-13.324111960736154,-25.542750833206124,High (10-15%),Large (10-15%)
AAL,Breakout (left high performers),10.754477004477003,2.286264441591784,-8.46821256288522,-28.15840028491575,High (10-15%),Medium (5-10%)
AAOI,Breakout (left high performers),10.245338170615224,2.694007068553035,-7.551331102062189,-32.34013832585939,High (10-15%),Medium (5-10%)
AOECF,Breakout (left high performers),10.104498649974744,0.4177926418194386,-9.686706008155303,-33.05084266322859,High (10-15%),Medium (5-10%)
ANZFF,Breakout (left high performers),10.722033741835723,3.20336400661515,-7.518669735220573,-39.027120446771576,High (10-15%),Medium (5-10%)
AMXX,Breakout (left high performers),13.130682248329308,1.8545811760979072,-11.2761010722314,-46.070585811839386,High (10-15%),Large (10-15%)
ANDI,Breakout (left high performers),10.718537946729644,3.144649865961341,-7.573888080768304,-59.34959529940552,High (10-15%),Medium (5-10%)
ADGO,Breakout (left high performers),10.604643910834785,3.8984277241277305,-6.706216186707055,-95.28301905571612,High (10-15%),Medium (5-10%)
