total_capital,capital_deployed,utilization_pct,n_positions,avg_position_size,gross_pnl,net_pnl,slippage_cost,gross_return_pct,net_return_pct,win_rate_pct,avg_slippage_pct,median_slippage_pct,top_pct,capital_label
1000000.0,1000000.0,100.0,20,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$1M
10000000.0,10000000.0,100.0,20,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$10M
50000000.0,50000000.0,100.0,20,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$50M
100000000.0,100000000.0,100.0,20,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$100M
250000000.0,250000000.0,100.0,20,12500000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$250M
500000000.0,500000000.0,100.0,20,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$500M
1000000000.0,1000000000.0,100.0,20,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$1.0B
2500000000.0,2500000000.0,100.0,25,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$2.5B
5000000000.0,5000000000.0,100.0,50,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$5.0B
10000000000.0,10000000000.0,100.0,100,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,$10.0B
