Security,Block,Prev_Quality,New_Quality,Quality_Jump,Final_Return
AA,2,2.9702970297029703,11.18421052631579,8.213913496612818,135.26108523266905
AABB,4,2.8735632183908044,9.090909090909092,6.217345872518287,1619.689372641135
AABB,5,9.090909090909092,18.0327868852459,8.94187779433681,1619.689372641135
AABVF,5,4.761904761904762,12.761506276150628,7.9996015142458665,306.6666679084305
AABVF,9,4.511278195488721,12.23404255319149,7.7227643577027685,306.6666679084305
AACAF,1,6.0606060606060606,18.75,12.68939393939394,-13.591085111101492
AACAY,1,6.0606060606060606,18.75,12.68939393939394,-23.567729741152608
AACG,4,3.11284046692607,11.11111111111111,7.998270644185041,28.934287653606525
AACG,8,2.145922746781116,8.035714285714286,5.889791538933171,28.934287653606525
AACS,6,4.848484848484849,12.5,7.651515151515151,47.27272552410477
AADI,7,0.4524247136999859,8.056872037914692,7.604447324214706,
AAEEF,1,0.4216359474762077,9.090909090909092,8.669273143432884,536.6208028271237
AAGC,6,3.6231884057971016,11.304347826086955,7.681159420289854,1376.1904851003037
AAGFF,1,5.426356589147287,27.884615384615387,22.4582587954681,86.48332152444657
AAGFF,3,7.865168539325842,13.461538461538462,5.596369922212619,86.48332152444657
AAGFF,5,2.941176470588235,18.0327868852459,15.091610414657666,86.48332152444657
AAGFF,9,3.937007874015748,14.066496163682864,10.129488289667115,86.48332152444657
AAGIY,3,4.326923076923077,11.496746203904555,7.169823126981479,17.903351618244333
AAIGF,3,4.326923076923077,11.496746203904555,7.169823126981479,18.66638790591053
AAIIQ,1,5.263157894736842,12.0,6.736842105263158,-67.84565927953473
AAL,1,10.476190476190476,17.46031746031746,6.984126984126982,-28.15840028491575
AAMAF,4,3.690036900369003,9.090909090909092,5.400872190540088,-70.30901314426188
AAMMF,7,0.4524247136999859,6.944444444444445,6.492019730744459,
AAMTF,3,1.8867924528301887,7.428571428571429,5.54177897574124,28.86363608654866
AAMTF,7,8.540925266903916,35.13513513513514,26.59420986823122,28.86363608654866
AAOI,1,8.98876404494382,15.18987341772152,6.201109372777699,-32.34013832585939
AAON,2,3.658536585365853,12.087912087912088,8.429375502546234,40.51058396036584
