Block_ID,Cluster_ID,Total_Securities,Top_Performers,Enrichment_Pct
0,34,362,2,0.5524861878453038
0,5,237,2,0.8438818565400843
0,21,291,1,0.3436426116838488
0,13,258,4,1.550387596899225
0,15,325,2,0.6153846153846154
0,36,132,1,0.7575757575757576
0,52,105,2,1.9047619047619049
0,61,8301,38,0.4577761715455969
0,46,180,2,1.1111111111111112
0,32,286,1,0.34965034965034963
0,54,95,3,3.1578947368421053
0,50,105,1,0.9523809523809524
0,29,154,3,1.948051948051948
0,37,215,4,1.8604651162790697
0,43,89,0,0.0
0,24,230,1,0.43478260869565216
0,56,130,3,2.307692307692308
0,17,265,2,0.7547169811320755
0,35,428,3,0.7009345794392523
0,20,436,4,0.9174311926605505
0,51,132,1,0.7575757575757576
0,53,127,6,4.724409448818897
0,31,143,2,1.3986013986013985
0,3,96,3,3.125
0,42,98,0,0.0
0,18,185,2,1.0810810810810811
0,62,139,7,5.0359712230215825
0,41,50,0,0.0
0,27,88,0,0.0
0,9,297,0,0.0
0,4,427,11,2.576112412177986
0,2,83,5,6.024096385542169
0,45,139,2,1.4388489208633095
0,22,297,0,0.0
0,44,73,2,2.73972602739726
0,55,136,3,2.2058823529411766
0,47,167,1,0.5988023952095809
0,8,112,2,1.7857142857142856
0,58,150,1,0.6666666666666667
0,48,107,5,4.672897196261682
0,23,132,1,0.7575757575757576
0,28,160,2,1.25
0,26,79,2,2.5316455696202533
0,49,51,3,5.88235294117647
0,33,123,7,5.691056910569105
0,0,120,2,1.6666666666666667
0,19,146,1,0.684931506849315
0,11,166,1,0.6024096385542169
0,40,206,0,0.0
0,1,95,2,2.1052631578947367
0,6,69,5,7.246376811594203
0,30,162,3,1.8518518518518516
0,38,66,5,7.575757575757576
0,14,134,0,0.0
0,59,72,4,5.555555555555555
0,10,131,2,1.5267175572519083
0,12,180,1,0.5555555555555556
0,16,77,0,0.0
0,25,34,1,2.941176470588235
0,57,66,0,0.0
0,39,109,1,0.9174311926605505
0,7,45,0,0.0
0,60,38,7,18.421052631578945
1,44,368,1,0.2717391304347826
1,40,202,0,0.0
1,56,126,1,0.7936507936507936
1,24,145,3,2.0689655172413794
1,43,134,0,0.0
1,19,128,4,3.125
1,49,297,2,0.6734006734006733
1,15,73,0,0.0
1,3,8267,50,0.604814322003145
1,50,154,1,0.6493506493506493
1,35,86,5,5.813953488372093
1,22,104,0,0.0
1,46,829,3,0.3618817852834741
1,52,25,1,4.0
1,45,384,4,1.0416666666666665
1,18,128,3,2.34375
1,12,158,2,1.2658227848101267
1,36,82,0,0.0
1,6,240,1,0.4166666666666667
1,51,262,2,0.7633587786259541
1,58,89,4,4.49438202247191
1,61,85,5,5.88235294117647
1,30,214,5,2.336448598130841
1,14,71,0,0.0
1,7,160,2,1.25
1,39,236,2,0.847457627118644
1,16,79,0,0.0
1,27,157,0,0.0
1,53,115,3,2.608695652173913
1,9,196,0,0.0
1,57,137,8,5.839416058394161
1,23,165,1,0.6060606060606061
1,54,271,4,1.4760147601476015
1,5,96,4,4.166666666666666
