Security,Market_Cap,Block,Date,From_Cluster,To_Cluster,From_Cluster_Quality,To_Cluster_Quality,Quality_Change,Event_Type,Cluster_Future_Return,Cluster_Future_Return_With_Stock
A,29731964950.561523,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,14.370124382108642,14.752835642399084
A,29731964950.561523,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,1.0217761247054034,2.5620045347765945
A,29731964950.561523,4,2018-07-31,0,1,21.72335957852352,-16.318735950270444,-38.042095528793965,CLUSTER_JOIN,-51.56150746867377,-41.43613671288078
A,29731964950.561523,5,2019-03-07,1,0,-16.318735950270444,-26.173451207610096,-9.854715257339652,CLUSTER_JOIN,397.4967872336367,376.31282975915
AA,6151465122.2229,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,19.889182567485037,14.752835642399084
AA,6151465122.2229,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,6.558397154394858,2.5620045347765945
AA,6151465122.2229,4,2018-07-31,0,1,21.72335957852352,-16.318735950270444,-38.042095528793965,CLUSTER_JOIN,-38.42835347915595,-41.43613671288078
AA,6151465122.2229,5,2019-03-07,1,0,-16.318735950270444,-26.173451207610096,-9.854715257339652,CLUSTER_JOIN,401.2313235768211,376.31282975915
AACAF,6598410046.100616,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,22.313020249857466,14.752835642399084
AACAF,6598410046.100616,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,6.169041420113147,2.5620045347765945
AACAF,6598410046.100616,4,2018-07-31,0,1,21.72335957852352,-16.318735950270444,-38.042095528793965,CLUSTER_JOIN,-41.07120765052377,-41.43613671288078
AACAF,6598410046.100616,5,2019-03-07,1,0,-16.318735950270444,-26.173451207610096,-9.854715257339652,CLUSTER_JOIN,402.5606574022548,376.31282975915
AACAY,6849903004.6587,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,22.658261039144627,14.752835642399084
AACAY,6849903004.6587,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,6.3594511161376825,2.5620045347765945
AACAY,6849903004.6587,4,2018-07-31,0,1,21.72335957852352,-16.318735950270444,-38.042095528793965,CLUSTER_JOIN,-41.52175374650336,-41.43613671288078
AACAY,6849903004.6587,5,2019-03-07,1,0,-16.318735950270444,-26.173451207610096,-9.854715257339652,CLUSTER_JOIN,402.0515660436608,376.31282975915
AAGIY,103629365381.68907,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,11.75153306746783,14.752835642399084
AAGIY,103629365381.68907,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,1.0266249427826337,2.5620045347765945
AAIGF,103161822801.35156,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,11.70408336355939,14.752835642399084
AAIGF,103161822801.35156,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,0.9954314079796683,2.5620045347765945
AAL,12671382879.140854,2,2017-05-22,0,1,25.35886373129983,47.42221269430813,22.0633489630083,CLUSTER_JOIN,20.59393970257613,14.752835642399084
AAL,12671382879.140854,3,2017-12-22,1,0,47.42221269430813,21.72335957852352,-25.69885311578461,CLUSTER_JOIN,5.798083921124967,2.5620045347765945
AAL,12671382879.140854,4,2018-07-31,0,1,21.72335957852352,-16.318735950270444,-38.042095528793965,CLUSTER_JOIN,-38.247225411793785,-41.43613671288078
AAL,12671382879.140854,5,2019-03-07,1,0,-16.318735950270444,-26.173451207610096,-9.854715257339652,CLUSTER_JOIN,403.5877536784156,376.31282975915
