Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg,Unique_Clusters,Stability_Score
NXMH,3189900.0424392065,0.0,3189900.0424392065,3189900.0424392065,10,0,6,9.999999747378752e-05,3.1899999618530277,10,0.1
SVNJ,1979900.0690924956,0.0,1979900.0690924956,1979900.0690924956,10,0,61,4.999999873689376e-05,0.9900000095367432,10,0.1
FSTF,1968000.046165952,0.0,1968000.046165952,1968000.046165952,10,0,58,9.999999747378752e-06,0.1968099996447563,10,0.1
NHLG,1415700.0409636418,0.0,1415700.0409636418,1415700.0409636418,10,0,61,9.999999747378752e-06,0.1415800005197524,9,0.1111111111111111
MTEI,1371900.0360305426,0.0,1371900.0360305426,1371900.0360305426,10,0,12,9.999999747378752e-06,0.1372000001370906,10,0.1
NTME,999900.0401632868,0.0,999900.0401632868,999900.0401632868,10,0,3,9.999999747378752e-06,0.100000001490116,9,0.1111111111111111
USBC,999900.0252621257,0.0,999900.0252621257,999900.0252621257,10,0,35,9.999999747378752e-05,1.0,10,0.1
LBWR,858650.0222898966,0.0,858650.0222898965,858650.0222898965,10,0,60,9.999999747378752e-06,0.0858750000596046,9,0.1111111111111111
CRFU,609900.0222644308,0.0,609900.0222644308,609900.0222644308,10,0,26,9.999999747378752e-06,0.0610000006854534,10,0.1
WYPH,597400.0226937119,0.0,597400.0226937119,597400.0226937119,10,0,60,9.999999747378752e-06,0.0597500007599591,8,0.125
RWGI,562600.0064246703,0.0,562600.0064246703,562600.0064246703,10,0,49,9.999999747378752e-06,0.0562699992209672,10,0.1
SRCX,449930.0113701393,0.0,449930.01137013925,449930.01137013925,10,0,29,9.999999747378752e-05,0.4500300000014249,9,0.1111111111111111
AHFI,402810.013244426,0.0,402810.013244426,402810.013244426,10,0,49,9.999999747378752e-05,0.4029100030660629,10,0.1
TICJ,199900.00803265732,0.0,199900.00803265732,199900.00803265732,10,0,61,9.999999747378752e-05,0.2000000029802321,10,0.1
HMBL,194110.0052423519,0.0,194110.0052423519,194110.0052423519,10,0,60,0.000399999989895,0.7768400013446808,10,0.1
GWSO,193133.33095432364,0.0,193133.33095432364,193133.33095432364,10,0,55,0.003000000026077,5.796999979019165,10,0.1
WWDH,166500.0009313221,0.0,166500.0009313221,166500.0009313221,10,0,61,9.999999747378752e-06,0.0166599996722652,9,0.1111111111111111
ADCV,159900.01164153227,0.0,159900.01164153227,159900.01164153227,10,0,18,9.999999747378752e-06,0.0160000007599592,10,0.1
FLMTF,122350.00165091478,0.0,122350.00165091478,122350.00165091478,10,0,13,9.999999747378752e-05,0.1224499985575675,10,0.1
LRCFF,121900.00445288616,0.0,121900.00445288616,121900.00445288616,10,0,61,9.999999747378752e-05,0.1220000013709068,10,0.1
MMIRF,121299.00037362042,0.0,121299.00037362042,121299.00037362042,10,0,2,9.999999747378752e-05,0.1213989973068237,9,0.1111111111111111
APWL,116400.00285363062,0.0,116400.00285363062,116400.00285363062,10,0,61,9.999999747378752e-05,0.116499999910593,10,0.1
WCHD,114900.00499130697,0.0,114900.00499130697,114900.00499130697,10,0,56,9.999999747378752e-05,0.1150000020861625,10,0.1
FBDS,113913.81390390682,0.0,113913.81390390683,113913.81390390683,10,0,44,0.0025989999994635,2.9632190227508546,10,0.1
CUBT,111160.00193685987,0.0,111160.0019368599,111160.0019368599,10,0,18,9.999999747378752e-05,0.1112599991261958,10,0.1
MNIZ,108299.9954830913,0.0,108299.9954830913,108299.9954830913,10,0,61,0.0010000000474973,1.0840000063180923,8,0.125
PECN,99900.000291038,0.0,99900.000291038,99900.000291038,10,0,61,1.9999999494757503e-05,0.0199999995529651,9,0.1111111111111111
BUSC,99900.0002910375,0.0,99900.0002910375,99900.0002910375,10,0,30,9.999999747378752e-06,0.0099999997764825,8,0.125
AFFN,99900.0002910375,0.0,99900.0002910375,99900.0002910375,10,0,61,9.999999747378752e-06,0.0099999997764825,10,0.1
TNMD,98255.00369585965,0.0,98255.00369585965,98255.00369585965,10,0,61,0.0001999999949475,0.1967100024223327,10,0.1
MJWL,94929.0025935151,0.0,94929.0025935151,94929.0025935151,10,0,55,9.999999747378752e-05,0.0950290001928805,8,0.125
AQFD,91900.00250292943,0.0,91900.00250292943,91900.00250292943,10,0,61,9.999999747378752e-05,0.0920000001788139,10,0.1
USLQ,89899.99839928918,0.0,89899.99839928918,89899.99839928918,10,0,61,9.999999747378752e-06,0.0089999996125697,10,0.1
TORVF,88512.85991241747,0.0,88512.85991241747,88512.85991241747,10,0,28,0.0001399999964632,0.124058000743389,9,0.1111111111111111
ITRX,87500.00018044369,0.0,87500.00018044369,87500.00018044369,10,0,4,9.999999747378752e-05,0.0875999979674815,10,0.1
CIVX,82150.00205545763,0.0,82150.00205545763,82150.00205545763,10,0,38,9.999999747378752e-06,0.0082249999977647,10,0.1
RGVNF,79900.00582076614,0.0,79900.00582076614,79900.00582076614,10,0,61,9.999999747378752e-06,0.0080000003799796,10,0.1
BGUUF,79900.00023283061,0.0,79900.00023283061,79900.00023283061,10,0,60,9.999999747378752e-05,0.0799999982118606,9,0.1111111111111111
MTPP,77270.0010950316,0.0,77270.0010950316,77270.0010950316,10,0,60,9.999999747378752e-05,0.0773699991405009,9,0.1111111111111111
PIFR,76390.00256768546,0.0,76390.00256768546,76390.00256768546,10,0,30,9.999999747378752e-05,0.0764900006353854,9,0.1111111111111111
MONI,74550.00248491699,0.0,74550.00248491699,74550.00248491699,10,0,10,8.199999792850577e-05,0.0612130004912614,9,0.1111111111111111
DPLS,68760.71672863184,0.0,68760.71672863184,68760.71672863184,10,0,24,0.0001399999964632,0.0964050009846687,10,0.1
