Block_Size,Num_Blocks,Distance_Threshold,Quality_Metric,Quality_Threshold_Percentile,Quality_Threshold_Value,Min_Quality_Change,Num_Dropout_Events,Dropout_Avg_Return,Dropout_Median_Return,Dropout_Positive_Pct,Dropout_Negative_Pct,Dropout_Std_Return,Num_Acquisition_Events,Acq_Avg_Return,Acq_Median_Return,Acq_Positive_Pct,Acq_Std_Return,Dropout_Signal_Strength,Dropout_Sharpe_Like,Total_Events,Avg_Clusters_Per_Block
100,10,40,avg_return,70,26.31882127670973,5,27436,480.7886997298014,0.0,49.362151917189095,49.03411576031492,18897.47801518147,26854,478.21380551699406,0.0,48.68176063156327,19162.58559133837,0.025441950473156005,4.214157859484046,54290,81.0
100,10,40,avg_return,75,37.01514740214422,5,24876,510.2306129895349,0.0,49.39700916546069,48.98295545907702,19821.10943867196,24426,510.5818258232706,0.0,48.62441660525669,20082.507140111797,0.025741778711642137,4.060026111214699,49302,81.0
100,10,40,avg_return,80,54.526699873053985,5,20211,604.9935658104957,0.0,49.28504279847608,48.88427094156647,21950.947434290953,19816,612.4939707061935,0.0,49.5458215583367,22268.68349585045,0.02756115960923843,3.9182431875304222,40027,81.0
100,10,40,median_return,70,6.584410603273005,5,25636,456.5511215979182,0.0,48.84537369324388,49.68793883601186,19363.381583258637,24868,412.34916206714547,-0.1919033261845024,48.47193179990349,16944.406335331394,0.023578067685896723,3.775142430482252,50504,81.0
100,10,40,median_return,75,9.086241427359786,5,23196,487.1496179839464,0.0,48.56871874461114,49.96982238316951,20324.06739648513,22624,443.22799286332946,-0.6614582412740793,48.090523338048094,17756.961806941705,0.023969100696260962,3.6505499058083286,45820,81.0
100,10,40,median_return,80,13.078974667576206,5,21042,519.8567330982094,0.0,48.65982321072141,49.9001996007984,21313.85884632812,20495,476.27144486992273,-0.30576966153012897,48.37765308611856,18645.122009445484,0.024390549681610967,3.5380592057754177,41537,81.0
100,10,50,avg_return,70,30.64075157172352,5,27634,494.17508871283326,0.0,49.670695520011584,48.75877542158211,19174.67981301924,27038,471.1218624558509,-0.0026635463528841786,48.53169613137066,19076.002573277005,0.025772273306868876,4.284248021902636,54672,55.1
100,10,50,avg_return,75,43.215850970836584,5,24427,532.672512316761,0.0,49.03999672493552,49.318377205551236,20346.18352034463,23926,515.4896636460603,0.0,48.93421382596338,20268.650095616096,0.026180463367202457,4.091781128755565,48353,55.1
100,10,50,avg_return,80,67.44409829693494,5,19496,568.7420884189366,0.0,48.22014772260977,49.974353713582275,21365.091217231333,19261,609.5701080819337,0.0,49.29650589273662,22525.80129039851,0.02662015727600713,3.716921380685073,38757,55.1
100,10,50,median_return,70,6.4500924253632546,5,25808,449.2323100645992,0.0,48.798822070675755,49.728766274023556,19273.606216934237,24813,407.8395575394564,0.0,48.68012735259743,16953.714134091693,0.023308160652877368,3.744425359217213,50621,55.1
100,10,50,median_return,75,9.528127521193635,5,23251,488.9925127710098,0.0,48.772095823835535,49.71399079609479,20303.484804224234,22685,438.98065532700997,-0.018485484249033374,48.58717214018073,17724.92132534871,0.024084166707641866,3.672420835990958,45936,55.1
100,10,50,median_return,80,13.437670505925917,5,20789,522.5497973921192,0.0,48.780605127711766,49.742652364231084,21442.79957110574,19800,474.8235271094642,-0.4518849944499316,48.27272727272727,18945.60585560107,0.02436947636708115,3.513686395465118,40589,55.1
100,10,60,avg_return,70,31.683375012400404,5,28333,454.69660695371493,0.0,49.6911728373275,48.769985529241524,18720.23765499823,27530,488.20234204395115,0.0,48.735924446058846,19115.581308745004,0.024289040306724564,4.088430658959689,55863,41.0
100,10,60,avg_return,75,48.52585858569439,5,24980,498.5871872707699,0.0,48.69495596477182,49.631705364291435,19921.764845413578,24497,535.1458250986664,0.0,49.27542148018125,20223.73163850456,0.025027259941056652,3.955574070742113,49477,41.0
100,10,60,avg_return,80,74.2770049984138,5,19898,499.2656868753896,-0.8070088779787539,47.52236405668911,50.68348577746507,20710.491785378348,19565,627.0192293181938,0.0,48.61231791464349,22477.72808911041,0.02410689673858311,3.4005253822485986,39463,41.0
100,10,60,median_return,70,6.6665010004560425,5,25849,436.35738812574783,0.0,48.62857363921235,49.86653255445085,19091.82886736092,24764,413.57309944675893,0.0,48.7118397674043,16995.232610770592,0.022855714408363325,3.6746558713959487,50613,41.0
100,10,60,median_return,75,9.470621879443824,5,23586,460.9897565846911,0.0,48.931569575171714,49.559060459594676,19973.29049742385,22800,429.3361428731028,0.0,48.76754385964912,17673.639253801295,0.023080311010554293,3.5446128193538358,46386,41.0
100,10,60,median_return,80,13.478083907282972,5,20441,472.40074857293496,-0.19925015323285722,48.34401448070055,50.15410204980187,21019.89962229333,19639,447.98675480596927,-0.6247147029322883,48.123631549467895,18863.96020158017,0.022473977376748038,3.213150060655157,40080,41.0
125,10,40,avg_return,70,25.72754653808557,5,26764,422.1157565538003,-1.194532988298623,47.365864594231056,50.88925422208938,15443.695003235207,26271,455.0361470723424,-0.2975334135461977,48.50976361767729,23517.484114251172,0.027332562347635963,4.47152700601718,53035,100.5
125,10,40,avg_return,75,39.232620594655316,5,23655,448.9422642886669,-1.8451464094603958,46.80194462058761,51.34643838511943,16359.636400238482,23266,491.3315742096057,-1.5331953242617145,47.34806154904152,24976.964318573486,0.027442068595248392,4.220640109206227,46921,100.5
125,10,40,avg_return,80,55.13796080569876,5,19638,464.331442290805,-2.216031464993266,46.415113555351866,51.705876362155,17178.500499533686,19707,543.9787229264931,-1.4117007747739767,47.52625970467347,27003.47456220366,0.02702980055234794,3.7878386311080474,39345,100.5
125,10,40,median_return,70,6.64582151629548,5,26081,367.473670849754,-1.253914922802901,47.50201295962578,50.98347456002455,13325.396360912331,25308,399.4466832250779,0.0,49.16232021495179,23581.41312374405,0.027576941120316115,4.453569267743991,51389,100.5
125,10,40,median_return,75,9.9795217670137,5,23665,374.6503571833796,-1.3563162789328986,47.4160152123389,51.03739699978872,13722.404797053949,22787,427.6509696582447,-0.028056997186711743,48.821696581384124,24847.65331882306,0.027302091923699333,4.199998922261849,46452,100.5
125,10,40,median_return,80,13.599464076581931,5,20901,364.3361817731231,-1.5915359155589477,47.15085402612315,51.26070522941486,13892.176690499575,20266,464.329716756025,-0.012216004687724186,48.79107865390309,26343.036615728983,0.026225996824693513,3.791539082007475,41167,100.5
125,10,50,avg_return,70,31.23230994823759,5,26767,435.6157399267873,-1.711955163376956,46.96828183957859,51.28703254006799,15634.945339589049,26641,450.58456079430897,-0.18271609616287507,48.58676476108254,23323.36188281914,0.02786167335192213,4.558343466763971,53408,67.0
125,10,50,avg_return,75,43.35589375274192,5,23648,438.5355064108698,-2.0541104183802084,46.64242219215156,51.56461434370772,16085.837575644757,23059,494.6318700168668,-1.1456526324464362,47.833817598334704,25042.18229814462,0.027262211516722486,4.192357323100327,46707,67.0
125,10,50,avg_return,80,62.88727663374761,5,18831,508.4652116624812,-2.0202020202020203,46.646487175402264,51.46832350910733,17812.697061325543,19241,567.6848744403608,-0.8009838279050503,48.079621641286835,27301.381302950715,0.02854509959451606,3.917132429242148,38072,67.0
125,10,50,median_return,70,6.8198330095932995,5,25814,366.7550397984448,-1.2776073153691818,47.54009452235221,50.976214457271254,13389.052194771384,24861,406.46613781306115,0.0,49.32625397208479,23793.71260389417,0.02739215849361375,4.401025741334621,50675,67.0
125,10,50,median_return,75,9.954401299158794,5,23429,374.5519143560773,-1.3617087262780099,47.44120534380469,51.04357847112553,13765.46378966806,22750,432.69823422313834,0.0,49.3010989010989,24870.02585787075,0.027209538311175875,4.164837383114741,46179,67.0
125,10,50,median_return,80,13.994110692473853,5,20945,366.2144436945324,-1.9607843137254901,46.88947242778706,51.563619002148485,13886.743754734662,20179,464.13279803684037,0.0,48.92710243322266,26398.98277650199,0.026371513017201906,3.816587553916526,41124,67.0
125,10,60,avg_return,70,33.38443413024761,5,26957,405.13324906992267,-1.7849452667642052,46.915457951552476,51.35586304113959,15121.351674121892,26867,466.0008224564224,0.0,48.86291733353184,23268.931380498467,0.026792131933764386,4.398889498234241,53824,49.8
125,10,60,avg_return,75,45.82612065678044,5,23455,422.3137306970098,-2.132756089539818,46.55723726284374,51.67768066510339,15969.7655771202,23115,502.5497392523018,-0.5505072665566627,48.34090417477828,24940.71635682315,0.026444579205474154,4.049993996318025,46570,49.8
125,10,60,avg_return,80,68.80732128235192,5,19294,502.2877284336499,-2.027348048732054,46.64662589406033,51.48750907017726,17601.92802033489,19336,585.142656535471,-0.5468013472885478,48.31402565163426,27262.54885936286,0.028535949462659686,3.9637245292810284,38630,49.8
125,10,60,median_return,70,7.124855753161079,5,25498,371.12855680677063,-1.378116488354248,47.43901482469213,51.04714095223155,13453.60866159841,24773,415.94446234576725,0.0,49.45707019739232,23857.990941736753,0.027585799924901133,4.404926238139548,50271,49.8
125,10,60,median_return,75,9.568233857370085,5,23306,398.69030782917514,-1.7745495740508237,47.206727881232304,51.33871106152922,14070.881826605504,22786,440.8210487249663,0.0,49.50847011322742,24873.361201719035,0.028334422301473924,4.3256186942113235,46092,49.8
125,10,60,median_return,80,14.86525282007622,5,20692,372.2462438245126,-2.9682701793696324,46.10960757780785,52.36323216702107,13968.286542246218,19319,487.9480128501708,-0.9333349942159185,48.056317614783374,26999.54592172595,0.026649384854661798,3.8334378231718866,40011,49.8
150,10,40,avg_return,70,36.56001493628674,5,26842,6388.384607786419,0.0,48.93823113031816,49.64980254824528,887166.0877186573,41805,7908.441388021781,3.389830508474576,52.82382490132759,1150212.938584364,0.007200889096442037,1.17975970394095,68647,122.8
150,10,40,avg_return,75,48.22996739325477,5,23277,7354.746621017298,0.0,49.79593590239292,48.68324955965116,952682.7697714459,37640,8762.969577184671,1.7675110789756845,51.52497343251859,1212179.3710297612,0.007720037408445777,1.1778308033462497,60917,122.8
150,10,40,avg_return,80,65.16877175646663,5,18523,9205.633853976675,0.0,49.932516331047886,48.458673001133725,1067959.6027874553,27888,11719.456451907114,10.029444979706495,57.15720022948939,1408247.040872515,0.008619833400017448,1.1731526755948931,46411,122.8
150,10,40,median_return,70,9.463942020481381,5,25274,6814.9741569369035,-0.8114743051455355,47.95837619688217,50.78737042019467,914473.8267905288,30619,10489.900943436693,22.56944641344434,67.31441261961527,1343843.0694146114,0.007452344678748203,1.1847587472407384,55893,122.8
150,10,40,median_return,75,13.349840903625282,5,23029,7472.241910552522,-0.641025641025641,48.104563810847196,50.631812063050944,958010.8010857548,28279,11336.445674266852,24.178840267248074,68.42179709324941,1398335.4610535593,0.007799747040517612,1.1836357062764036,51308,122.8
150,10,40,median_return,80,17.25093403376103,5,20378,8262.62980349942,0.0,48.81735204632447,49.87731867700461,1018161.5692795948,24897,10090.774505811383,26.59057556137799,69.85982246857051,1426227.4102183764,0.008115244233138443,1.1584635500083433,45275,122.8
150,10,50,avg_return,70,42.4250938344995,5,26345,6473.3626984634475,0.0,49.109888024293035,49.436325678496864,895486.808833728,41594,7965.452005635575,3.041812498058513,52.55084868009809,1153130.3884537772,0.007228875550823895,1.1733291210731942,67939,80.9
150,10,50,avg_return,75,56.77280180217207,5,22245,7650.939234113464,0.0,49.629130141604854,48.837941110361875,974521.4504321115,31722,10338.794005232652,10.348560171211094,57.499527142046524,1320412.2473131865,0.007850970577118616,1.1709532459141527,53967,80.9
150,10,50,avg_return,80,84.2478620952682,5,18195,9338.576989718562,0.5898704341689489,50.431437208024185,47.99120637537785,1077533.3934060284,27847,11756.970736191875,9.888916057675429,57.047437785039676,1409287.8903569493,0.008666624205677556,1.16903091291579,46042,80.9
150,10,50,median_return,70,10.211114887837006,5,25086,6876.9463005139205,-0.7803165191091412,47.95902096787052,50.77333971139281,917894.6580733138,30409,10542.041631622802,22.175235789276602,67.38136735834786,1348464.7675239323,0.007492086635462964,1.186638677516139,55495,80.9
150,10,50,median_return,75,13.143755197532933,5,22947,7506.548251996513,-0.2752594120596231,48.45949361572319,50.259293153789166,959721.1058518318,28056,11416.41803235439,23.754982819994886,68.30624465355004,1403871.290470321,0.00782159338397985,1.1848358672646984,51003,80.9
150,10,50,median_return,80,17.566350901960266,5,19922,8414.823317961476,0.0,49.703844995482385,49.02620218853529,1029733.1066287425,24626,10168.963374201407,26.764408277821946,70.31998700560383,1434039.3559098174,0.008171848864324547,1.1534181836376871,44548,80.9
150,10,60,avg_return,70,46.05348654454865,5,26486,6436.358548119432,-0.017320050069311886,48.58038208865061,50.049082534168996,893100.1581742078,41439,7987.435418276441,2.4792965792906165,52.119983590337604,1155284.9504050952,0.007206760058443477,1.1728656043391377,67925,59.2
150,10,60,avg_return,75,65.02889719421358,5,21658,7856.562919304974,0.15650894439916746,50.078492935635786,48.44399298180811,987639.5168051264,31756,10331.32383410115,9.904511160114422,57.40332535583826,1319705.5444674613,0.00795488919349829,1.1706937755650464,53414,59.2
150,10,60,avg_return,80,102.84807781478354,5,17771,9564.286298055202,1.8775445595022997,51.60092285183726,46.851612177142535,1090312.2876174282,27309,9405.035689079383,9.41666682561239,56.834743124977116,1361922.8588879197,0.008772061368725164,1.169385204682301,45080,59.2
150,10,60,median_return,70,9.991462282805758,5,25241,6875.521950631084,-1.092627464681669,47.680361316905035,51.03997464442772,915098.6610655019,30523,10474.686025640625,21.832062048162097,67.18540117288602,1345929.737105908,0.0075134214955855354,1.1936885592052973,55764,59.2
150,10,60,median_return,75,13.151736185764854,5,22690,7643.626055634164,0.0,48.91582194799471,49.770824151608636,965169.4118317959,27683,11528.224035079462,24.026655209782703,68.65585377307373,1413281.6047256743,0.007919465704085377,1.1929249730793663,50373,59.2
150,10,60,median_return,80,18.89414692141954,5,18937,8918.405337984894,0.18333375728841003,50.176902360458364,48.61382478745313,1056205.1059608138,24062,10361.225403491717,27.332906097917448,70.6383509267725,1450730.9115381704,0.008443819564640293,1.1619689790897643,42999,59.2
