Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump,Forward_Window
A,7,133.83337,96.3561,37.477272,44.052483,DROP,,250
A,8,96.3561,18.351927,78.00417,31.800186,DROP,,250
A,20,430.1131,33.019073,397.09402,46.264805,DROP,,250
A,25,139.94733,26.194525,113.7528,58.48645,DROP,,250
A,28,151.8551,89.56435,62.290756,18.1685,DROP,,250
A,31,514.7215,150.11475,364.60675,-13.307542,DROP,,250
A,32,150.11475,130.17297,19.941772,-0.7445786,DROP,,250
A,33,130.17297,1.9741325,128.19884,3.280601,DROP,,250
AL,9,333.9126,185.91788,147.99472,17.062122,DROP,,250
AL,10,185.91788,41.755985,144.1619,3.9774032,DROP,,250
APAJF,6,113.399414,23.620905,89.77851,8.388162,DROP,,250
APAJF,18,419.37354,-20.263079,439.63663,2.49633,DROP,,250
APAJF,21,110.10007,71.26839,38.83168,0.5228753,DROP,,250
APAJF,37,163.48837,6.4059124,157.08246,-16.393446,DROP,,250
ARW,7,191.14589,31.393555,159.75233,12.540248,DROP,,250
ARW,9,115.794624,19.845446,95.94918,-0.33377838,DROP,,250
ARW,28,151.8551,146.15318,5.7019196,18.694244,DROP,,250
ARW,29,146.15318,112.53128,33.621902,4.748742,DROP,,250
ARW,30,112.53128,59.238167,53.293114,4.17125,DROP,,250
ASXFY,7,160.62167,40.611515,120.01016,15.866155,DROP,,250
ASXFY,12,102.323456,53.694572,48.628883,-1.2109932,DROP,,250
ASXFY,15,118.08347,102.07129,16.012184,25.348928,DROP,,250
ASXFY,16,102.07129,36.50557,65.56572,36.15309,DROP,,250
ASXFY,22,234.90392,49.386436,185.51749,-1.2678555,DROP,,250
ASXFY,32,117.613976,78.170845,39.44313,-28.829107,DROP,,250
ATLCY,8,130.71498,61.21037,69.50461,26.504856,DROP,,250
ATLCY,12,98.476074,42.52522,55.950855,-43.86056,DROP,,250
ATLCY,29,125.450806,108.43739,17.013412,-29.289171,DROP,,250
ATLCY,30,108.43739,80.74022,27.697174,-31.803959,DROP,,250
ATLCY,33,130.17297,-12.826176,142.99915,-1.7261753,DROP,,250
ATLKY,8,130.71498,61.21037,69.50461,26.699451,DROP,,250
ATLKY,12,98.476074,42.52522,55.950855,-45.614845,DROP,,250
ATLKY,29,125.450806,108.43739,17.013412,-31.594158,DROP,,250
ATLKY,30,108.43739,80.74022,27.697174,-35.840775,DROP,,250
ATLKY,33,130.17297,-12.826176,142.99915,-2.979788,DROP,,250
ATLPF,7,518.25385,130.71498,387.53888,43.23695,DROP,,250
ATLPF,8,130.71498,61.21037,69.50461,25.1223,DROP,,250
ATLPF,12,98.476074,58.27386,40.202213,-46.357304,DROP,,250
ATLPF,25,95.15332,26.194525,68.95879,54.61537,DROP,,250
ATLPF,29,125.450806,108.43739,17.013412,-31.011265,DROP,,250
ATLPF,30,108.43739,80.74022,27.697174,-36.845184,DROP,,250
ATLPF,33,130.17297,-12.826176,142.99915,-5.5841575,DROP,,250
AVT,29,233.70277,108.43739,125.26538,7.4455895,DROP,,250
AVT,30,108.43739,80.74022,27.697174,12.980997,DROP,,250
AVT,32,582.7701,-38.29089,621.061,12.756329,DROP,,250
AVT,35,553.8888,422.17523,131.71356,3.4059103,DROP,,250
AVT,36,422.17523,-1.3715836,423.5468,23.408632,DROP,,250
BASFY,7,518.25385,117.62645,400.62738,20.482456,DROP,,250
BASFY,9,333.9126,56.64551,277.2671,9.405732,DROP,,250
BASFY,12,103.409035,71.74765,31.661385,-36.76738,DROP,,250
BASFY,29,221.46436,112.53128,108.933075,-38.801716,DROP,,250
BASFY,30,112.53128,63.6909,48.84038,-46.0101,DROP,,250
BFFAF,7,518.25385,117.62645,400.62738,20.661528,DROP,,250
BFFAF,9,333.9126,56.64551,277.2671,7.1751704,DROP,,250
BFFAF,12,103.409035,71.74765,31.661385,-37.454315,DROP,,250
BFFAF,29,221.46436,112.53128,108.933075,-39.13199,DROP,,250
BFFAF,30,112.53128,63.6909,48.84038,-46.914047,DROP,,250
BITRF,7,179.13977,-17.737053,196.87683,-3.703704,DROP,,250
BITRF,14,394.39044,48.733696,345.65674,175.0,DROP,,250
BITRF,18,5153.828,81.01158,5072.8164,-7.859837,DROP,,250
BITRF,25,342.68768,306.8725,35.815186,-46.969696,DROP,,250
BITRF,27,366.1508,12.802216,353.34857,-16.666668,DROP,,250
BITRF,35,2979.8975,20.371723,2959.5256,-43.249996,DROP,,250
BKR,35,92.173584,-1.2019131,93.375496,41.779728,DROP,,250
BKR,37,140.95863,-13.103928,154.06256,18.364473,DROP,,250
BPOP,7,104.19104,57.250603,46.940437,-18.824335,DROP,,250
BPOP,16,2329.384,79.853355,2249.5308,10.437577,DROP,,250
CIBH,6,490.67072,116.01968,374.65103,16.935482,DROP,,250
CIBH,8,130.71498,123.00504,7.709938,65.048546,DROP,,250
CIBH,9,123.00504,54.177322,68.82772,10.738253,DROP,,250
CIBH,12,548.9318,16.1225,532.8093,5.633806,DROP,,250
CIBH,14,2114.7598,128.26053,1986.4993,-12.121212,DROP,,250
CIBH,16,1138.3618,60.53165,1077.8302,-12.582784,DROP,,250
CIBH,22,233.10341,-18.646772,251.75018,-24.761904,DROP,,250
CIBH,30,1143.0914,580.4915,562.5999,31.132074,DROP,,250
CIBH,31,580.4915,150.11475,430.37677,3.816794,DROP,,250
CIBH,32,150.11475,78.59789,71.51685,-10.958904,DROP,,250
CIBH,34,111.75702,85.976654,25.780365,-24.278774,DROP,,250
CIBH,35,85.976654,-8.520202,94.49686,-27.338129,DROP,,250
CIVB,6,997.03625,104.19104,892.8452,53.047554,DROP,,250
CIVB,7,104.19104,71.49346,32.69758,13.812727,DROP,,250
CIVB,11,227.89029,8.619779,219.27051,3.2822757,DROP,,250
CIVB,16,133.08795,73.39864,59.68931,-8.686445,DROP,,250
CIVB,34,111.75702,-4.8685966,116.62562,-28.297365,DROP,,250
CSIQ,13,5735.149,9.948095,5725.2007,48.245613,DROP,,250
CSIQ,20,430.1131,40.450745,389.66235,7.8947315,DROP,,250
CSIQ,28,398.645,259.59738,139.0476,-22.797276,DROP,,250
CSIQ,29,259.59738,82.74931,176.84807,-32.781,DROP,,250
DLUEY,7,518.25385,10.056882,508.19696,18.326864,DROP,,250
DLUEY,12,548.9318,110.21464,438.7172,-40.889214,DROP,,250
DLUEY,13,110.21464,-1.3747249,111.58936,-37.685856,DROP,,250
DLUEY,28,137.41068,106.48492,30.925758,-42.35891,DROP,,250
DLUEY,29,106.48492,46.688602,59.796314,-43.360435,DROP,,250
DLUEY,32,104.62913,-33.675293,138.30441,-39.52902,DROP,,250
EFR,11,227.89029,-26.078323,253.96861,-6.300815,DROP,,250
EFR,29,146.15318,112.53128,33.621902,-16.225872,DROP,,250
EFR,30,112.53128,104.321365,8.209915,-13.090129,DROP,,250
EFR,31,104.321365,56.401897,47.919468,-24.882313,DROP,,250
EFT,11,227.89029,-34.960102,262.8504,-2.6657577,DROP,,250
EFT,29,146.15318,112.53128,33.621902,-16.08146,DROP,,250
EFT,30,112.53128,104.321365,8.209915,-15.541491,DROP,,250
EFT,32,282.68176,85.40355,197.27821,-24.338985,DROP,,250
EFT,33,85.40355,13.189121,72.21443,-13.357403,DROP,,250
ENHD,4,365.43726,78.211174,287.22607,100.0,DROP,,250
ENHD,26,805.51373,114.44561,691.0681,-35.454544,DROP,,250
ENHD,27,114.44561,-8.868791,123.3144,-52.666664,DROP,,250
ENHD,29,817.881,767.207,50.67401,-98.91304,DROP,,250
ENHD,30,767.207,55.616394,711.5906,-99.200005,DROP,,250
EVF,11,227.89029,-20.529251,248.41954,-3.0349057,DROP,,250
EVF,29,259.59738,108.43739,151.15999,-16.740742,DROP,,250
EVF,31,118.1061,56.401897,61.704205,-24.999996,DROP,,250
EVF,33,413.64597,-17.877716,431.52368,-14.069596,DROP,,250
FMCC,8,1358.0681,32.029816,1326.0383,-39.473686,DROP,,250
FMCC,13,211.64644,-16.754559,228.401,60.24844,DROP,,250
FMCC,20,430.1131,407.42804,22.685059,-3.414631,DROP,,250
