Security,Block,Prev_Quality,New_Quality,Quality_Jump,Future_Return,Event_Type
A,5,35.58527,47.915947,12.330677,41.00123977661133,ACQ
A,6,47.915947,167.08409,119.168144,51.83469009399414,ACQ
A,10,17.806059,55.10288,37.29682,4.697661876678467,ACQ
A,13,49.44353,57.01834,7.57481,,ACQ
A,19,25.486734,724.0022,698.51544,,ACQ
A,27,9.983219,151.8551,141.87189,,ACQ
A,30,78.76405,514.7215,435.95746,,ACQ
A,38,16.416225,127.003975,110.58775,,ACQ
AA,6,23.701807,144.5851,120.88329,336.0185852050781,ACQ
AA,8,31.393555,48.775047,17.381493,-20.710474014282227,ACQ
AA,9,48.775047,73.23305,24.458,-29.536224365234375,ACQ
AA,12,37.39835,85.432465,48.034115,,ACQ
AA,13,85.432465,100.797745,15.36528,,ACQ
AA,27,-17.826717,165.0856,182.91232,,ACQ
AA,29,35.269905,68.54434,33.274437,,ACQ
AA,30,68.54434,73.98094,5.4365997,,ACQ
AA,32,55.06501,161.91208,106.84707,,ACQ
AA,34,73.04309,83.173065,10.129974,,ACQ
AACAF,3,-7.5169616,162.4402,169.95717,-66.3735122680664,ACQ
AACAF,6,32.993813,98.74162,65.74781,-5.461401462554932,ACQ
AACAF,8,33.86605,68.83764,34.97159,-40.95286560058594,ACQ
AACAF,10,15.855638,48.384457,32.52882,32.80564498901367,ACQ
AACAF,11,48.384457,94.99096,46.606503,56.56230545043945,ACQ
AACAF,39,17.214111,58.518574,41.304462,,ACQ
AACAY,3,-7.5169616,162.4402,169.95717,-69.01762390136719,ACQ
AACAY,6,32.993813,98.74162,65.74781,1.5893969535827637,ACQ
AACAY,8,33.86605,68.83764,34.97159,-41.7806510925293,ACQ
AACAY,10,15.855638,48.384457,32.52882,86.27086639404297,ACQ
AACAY,11,48.384457,94.99096,46.606503,49.359283447265625,ACQ
AACAY,30,-57.715935,427.30353,485.01947,,ACQ
AAFRF,41,-51.98516,2409.8315,2461.8167,,ACQ
AAL,8,24.69336,42.169662,17.476303,-24.493059158325195,ACQ
AAL,27,-35.54753,49.22427,84.771805,,ACQ
AAL,29,36.47655,103.565994,67.08945,,ACQ
AAL,31,48.867134,154.20639,105.33926,,ACQ
