Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
A,1,1677.2946,60.395336,1616.8992,49.6756477355957,DROP,
A,2,60.395336,37.509712,22.885624,21.65323829650879,DROP,
A,5,312.2425,124.725586,187.5169,42.618186950683594,DROP,
A,6,124.725586,80.899956,43.82563,23.543209075927734,DROP,
A,8,104.30099,57.70181,46.59918,10.358116149902344,DROP,
A,9,57.70181,52.251896,5.449913,-5.950805187225342,DROP,
A,10,52.251896,33.979908,18.271988,-22.23076629638672,DROP,
A,15,57.139645,48.1791,8.960545,,DROP,
A,17,61.347836,2.2969577,59.050877,,DROP,
A,19,212.09514,101.716034,110.379105,,DROP,
A,20,101.716034,24.893658,76.82237,,DROP,
A,23,104.38473,61.49995,42.884777,,DROP,
A,28,532.5454,29.646275,502.89914,,DROP,
A,30,64.79518,-26.819294,91.61447,,DROP,
AACG,1,1677.2946,1190.2762,487.0183,-69.74496459960938,DROP,
AACG,2,1190.2762,-36.987774,1227.264,-70.81652069091797,DROP,
AACG,8,104.30099,57.70181,46.59918,-67.38197326660156,DROP,
AACG,9,57.70181,52.251896,5.449913,-37.178550720214844,DROP,
AACG,10,52.251896,33.979908,18.271988,62.38837814331055,DROP,
AACG,25,634.9075,240.42279,394.48468,,DROP,
AACG,27,402.58472,68.198326,334.38638,,DROP,
AACG,28,68.198326,-42.165558,110.363884,,DROP,
AAGC,1,1677.2946,1190.2762,487.0183,22.790695190429688,DROP,
AAGC,2,1190.2762,5.3448925,1184.9314,-28.57143211364746,DROP,
AAGC,12,103.65305,33.410477,70.24258,,DROP,
AAGC,17,77.8662,1.7052516,76.16095,,DROP,
AAGC,22,124.158134,104.38473,19.773407,,DROP,
AAGC,23,104.38473,61.49995,42.884777,,DROP,
AAGC,25,634.9075,133.37425,501.5332,,DROP,
AAGC,27,176.21619,108.97116,67.245026,,DROP,
AAGC,28,108.97116,-35.58133,144.55249,,DROP,
AAGIY,1,1677.2946,17.796593,1659.4979,53.516639709472656,DROP,
AAGIY,3,100.25678,67.56486,32.691925,26.79387664794922,DROP,
AAGIY,5,90.74465,2.7169757,88.02768,12.24941349029541,DROP,
AAGIY,8,104.30099,57.70181,46.59918,-11.43145751953125,DROP,
AAGIY,9,57.70181,52.251896,5.449913,-11.190865516662598,DROP,
AAGIY,12,103.65305,33.410477,70.24258,,DROP,
AAGIY,17,61.347836,27.855862,33.491974,,DROP,
AAGIY,20,101.716034,24.893658,76.82237,,DROP,
AAGIY,27,71.31318,-23.992275,95.30545,,DROP,
AAIGF,1,1677.2946,17.796593,1659.4979,54.69734573364258,DROP,
AAIGF,3,100.25678,67.56486,32.691925,26.05338478088379,DROP,
AAIGF,5,90.74465,2.7169757,88.02768,12.031390190124512,DROP,
AAIGF,8,104.30099,57.70181,46.59918,-12.940898895263672,DROP,
AAIGF,9,57.70181,52.251896,5.449913,-10.246234893798828,DROP,
AAIGF,12,103.65305,33.410477,70.24258,,DROP,
AAIGF,17,61.347836,27.855862,33.491974,,DROP,
AAIGF,20,101.716034,24.893658,76.82237,,DROP,
AAIGF,27,71.31318,-23.992275,95.30545,,DROP,
AAME,1,1677.2946,-31.00335,1708.2979,-26.5625057220459,DROP,
AAME,5,1427.1494,1.0289541,1426.1205,60.72378158569336,DROP,
AAME,25,634.9075,240.42279,394.48468,,DROP,
AAME,27,402.58472,68.198326,334.38638,,DROP,
AAME,28,68.198326,4.8249474,63.37338,,DROP,
AAON,1,1677.2946,60.395336,1616.8992,15.54601001739502,DROP,
AAON,2,60.395336,37.509712,22.885624,33.720367431640625,DROP,
AAON,5,1427.1494,1129.1366,298.01282,-3.7948076725006104,DROP,
AAON,6,1129.1366,39.07087,1090.0657,6.813469409942627,DROP,
AAON,15,57.139645,48.1791,8.960545,,DROP,
AAON,16,48.1791,32.245277,15.933823,,DROP,
AAON,26,240.42279,8.935532,231.48726,,DROP,
AAPI,1,1677.2946,1190.2762,487.0183,-28.57142448425293,DROP,
AAPI,2,1190.2762,-36.987774,1227.264,50.0,DROP,
AAPI,6,1129.1366,674.15216,454.98444,91.09088134765625,DROP,
AAPI,7,674.15216,-32.83367,706.98584,327.9661560058594,DROP,
AAPI,16,48.1791,32.245277,15.933823,,DROP,
AAPI,28,532.5454,36.619503,495.9259,,DROP,
AAPI,31,51.64677,24.380156,27.266615,,DROP,
ABCB,1,1677.2946,17.796593,1659.4979,-11.51353931427002,DROP,
ABCB,3,100.25678,67.56486,32.691925,-46.417335510253906,DROP,
ABCB,5,1427.1494,1129.1366,298.01282,87.97740936279297,DROP,
ABCB,6,1129.1366,39.07087,1090.0657,-8.317853927612305,DROP,
ABCB,10,110.84409,33.979908,76.86418,34.74295425415039,DROP,
ABCB,12,103.65305,-34.03797,137.69102,,DROP,
ABCB,19,112.222466,101.716034,10.506432,,DROP,
ABCB,20,101.716034,-35.71622,137.43225,,DROP,
ABCB,24,116.81446,72.53841,44.276054,,DROP,
ABCB,28,108.97116,4.8249474,104.14621,,DROP,
ABR,1,1677.2946,17.796593,1659.4979,63.69618606567383,DROP,
ABR,3,100.25678,67.56486,32.691925,-1.7165164947509766,DROP,
ABR,4,67.56486,27.08955,40.475307,42.068641662597656,DROP,
ABR,6,124.725586,39.07087,85.65472,-7.239260673522949,DROP,
ABR,12,103.65305,81.233574,22.41948,,DROP,
ABR,13,81.233574,34.94369,46.289883,,DROP,
ABR,15,57.139645,48.1791,8.960545,,DROP,
ABR,17,61.347836,27.855862,33.491974,,DROP,
ABR,19,212.09514,101.716034,110.379105,,DROP,
ABR,20,101.716034,-35.71622,137.43225,,DROP,
ABR,27,71.31318,55.905064,15.408115,,DROP,
ABR,28,55.905064,29.646275,26.25879,,DROP,
ABR,30,64.79518,-26.819294,91.61447,,DROP,
AC,1,1677.2946,17.796593,1659.4979,14.600160598754883,DROP,
AC,3,100.25678,67.56486,32.691925,-10.656365394592285,DROP,
AC,6,1129.1366,674.15216,454.98444,1.5138095617294312,DROP,
AC,7,674.15216,-32.83367,706.98584,-23.474916458129883,DROP,
AC,12,103.65305,33.410477,70.24258,,DROP,
AC,15,57.139645,0.7474901,56.392155,,DROP,
AC,20,76.950485,24.893658,52.056828,,DROP,
AC,24,88.670135,-11.9184885,100.58862,,DROP,
AC,27,176.21619,55.905064,120.31113,,DROP,
AC,28,55.905064,4.8249474,51.080116,,DROP,
ACB,1,1677.2946,-31.00335,1708.2979,345.6896057128906,DROP,
ACB,3,100.25678,67.56486,32.691925,-95.89823913574219,DROP,
ACB,5,1427.1494,1129.1366,298.01282,-80.20610046386719,DROP,
ACB,6,1129.1366,674.15216,454.98444,-91.1222915649414,DROP,
ACB,7,674.15216,104.30099,569.8512,-91.66522979736328,DROP,
ACB,8,104.30099,39.402916,64.89807,-50.0173225402832,DROP,
ACB,10,52.251896,33.979908,18.271988,-35.06614685058594,DROP,
ACB,26,240.42279,8.935532,231.48726,,DROP,
ACIC,1,1677.2946,-31.00335,1708.2979,2.351675271987915,DROP,
ACIC,6,124.725586,39.07087,85.65472,-78.25276947021484,DROP,
ACIC,10,110.84409,69.411064,41.43303,-13.938835144042969,DROP,
ACIC,12,103.65305,33.410477,70.24258,,DROP,
ACIC,27,402.58472,-23.992275,426.577,,DROP,
ACJJF,1,1677.2946,17.796593,1659.4979,-36.283199310302734,DROP,
ACM,1,1677.2946,17.796593,1659.4979,-12.169366836547852,DROP,
ACM,4,2437.5896,1427.1494,1010.4402,80.4302749633789,DROP,
ACM,5,1427.1494,1129.1366,298.01282,95.23759460449219,DROP,
ACM,6,1129.1366,674.15216,454.98444,49.2874641418457,DROP,
ACM,7,674.15216,-32.83367,706.98584,20.02933692932129,DROP,
ACM,10,52.251896,-6.290608,58.542503,25.486326217651367,DROP,
ACM,19,112.222466,101.716034,10.506432,,DROP,
ACM,20,101.716034,24.893658,76.82237,,DROP,
ACM,26,133.37425,71.31318,62.061073,,DROP,
ACM,28,108.97116,36.619503,72.351654,,DROP,
ACM,31,51.64677,-15.356124,67.00289,,DROP,
ACMB,1,1677.2946,1190.2762,487.0183,-22.467267990112305,DROP,
ACMB,2,1190.2762,37.509712,1152.7665,-18.099998474121094,DROP,
ACMB,4,2437.5896,1427.1494,1010.4402,-94.96499633789062,DROP,
ACMB,5,1427.1494,1129.1366,298.01282,-95.00624084472656,DROP,
ACMB,6,1129.1366,674.15216,454.98444,-99.9151382446289,DROP,
ACMB,7,674.15216,-32.83367,706.98584,-99.53604125976562,DROP,
ACMB,11,69.411064,-5.6686077,75.07967,-56.58248519897461,DROP,
ACMB,25,59.733543,-28.850784,88.58433,,DROP,
ACN,1,1677.2946,60.395336,1616.8992,31.045320510864258,DROP,
ACN,2,60.395336,37.509712,22.885624,31.40690040588379,DROP,
ACN,6,1129.1366,80.899956,1048.2367,8.040233612060547,DROP,
ACN,8,104.30099,57.70181,46.59918,30.851253509521484,DROP,
ACN,9,57.70181,52.251896,5.449913,-9.379928588867188,DROP,
ACN,10,52.251896,33.979908,18.271988,-14.470887184143066,DROP,
ACN,12,103.65305,81.233574,22.41948,,DROP,
ACN,13,81.233574,19.944904,61.28867,,DROP,
ACN,16,48.1791,32.245277,15.933823,,DROP,
ACN,18,106.62417,11.941115,94.68305,,DROP,
ACN,20,101.716034,-35.71622,137.43225,,DROP,
ACN,23,104.38473,61.49995,42.884777,,DROP,
ACN,26,133.37425,71.31318,62.061073,,DROP,
ACN,28,532.5454,36.619503,495.9259,,DROP,
ACOPF,1,1677.2946,1190.2762,487.0183,422.2951354980469,DROP,
ACOPF,2,1190.2762,5.3448925,1184.9314,71.34437561035156,DROP,
ACOPF,5,1427.1494,124.725586,1302.4238,-74.11454010009766,DROP,
ACOPF,6,124.725586,80.899956,43.82563,-35.18937683105469,DROP,
ACOPF,8,104.30099,57.70181,46.59918,2.364816427230835,DROP,
ACOPF,9,57.70181,52.251896,5.449913,37.588844299316406,DROP,
ACOPF,11,69.411064,14.105149,55.305916,0.5361513495445251,DROP,
ACOPF,15,57.139645,48.1791,8.960545,,DROP,
ACOPF,17,61.347836,27.855862,33.491974,,DROP,
ACOPF,22,124.158134,104.38473,19.773407,,DROP,
ACOPF,23,104.38473,88.670135,15.714592,,DROP,
ACOPF,24,88.670135,-11.9184885,100.58862,,DROP,
ACRS,1,1677.2946,1190.2762,487.0183,-78.39106750488281,DROP,
ACRS,2,1190.2762,100.25678,1090.0194,-92.71150970458984,DROP,
ACRS,3,100.25678,67.56486,32.691925,-78.4212646484375,DROP,
ACRS,5,1427.1494,1129.1366,298.01282,872.678466796875,DROP,
ACRS,6,1129.1366,674.15216,454.98444,-42.73009490966797,DROP,
ACRS,7,674.15216,22.258486,651.8937,-93.44286346435547,DROP,
ACRS,25,634.9075,133.37425,501.5332,,DROP,
ACRS,27,402.58472,108.97116,293.61356,,DROP,
ACRS,28,108.97116,-35.58133,144.55249,,DROP,
ACXIF,1,1677.2946,-31.00335,1708.2979,22.296077728271484,DROP,
ACXIF,5,312.2425,124.725586,187.5169,112.58354187011719,DROP,
ACXIF,6,124.725586,80.899956,43.82563,30.728553771972656,DROP,
ACXIF,7,80.899956,34.203957,46.696,-24.2101993560791,DROP,
ACXIF,11,69.411064,14.105149,55.305916,68.24687957763672,DROP,
ACXIF,15,57.139645,48.1791,8.960545,,DROP,
ACXIF,17,61.347836,27.855862,33.491974,,DROP,
ACXIF,26,133.37425,71.31318,62.061073,,DROP,
ACXIF,28,532.5454,36.619503,495.9259,,DROP,
ACXIF,31,51.64677,7.8575935,43.789177,,DROP,
ADAD,1,1677.2946,1190.2762,487.0183,-99.60749816894531,DROP,
ADAD,2,1190.2762,-36.987774,1227.264,-63.235294342041016,DROP,
ADAD,17,77.8662,1.7052516,76.16095,,DROP,
ADAD,25,634.9075,240.42279,394.48468,,DROP,
ADAD,27,402.58472,68.198326,334.38638,,DROP,
ADAD,28,68.198326,-35.58133,103.779655,,DROP,
ADAD,31,51.64677,24.380156,27.266615,,DROP,
ADBE,1,1677.2946,60.395336,1616.8992,108.16523742675781,DROP,
ADBE,3,100.25678,67.56486,32.691925,94.62786865234375,DROP,
ADBE,5,312.2425,124.725586,187.5169,6.235885143280029,DROP,
ADBE,6,124.725586,80.899956,43.82563,-18.881166458129883,DROP,
ADBE,8,104.30099,57.70181,46.59918,78.8509750366211,DROP,
ADBE,9,57.70181,52.251896,5.449913,-30.015056610107422,DROP,
ADBE,12,103.65305,81.233574,22.41948,,DROP,
ADBE,13,81.233574,19.944904,61.28867,,DROP,
ADBE,16,48.1791,32.245277,15.933823,,DROP,
ADBE,22,124.158134,104.38473,19.773407,,DROP,
ADBE,23,104.38473,61.49995,42.884777,,DROP,
ADBE,25,59.733543,12.021855,47.71169,,DROP,
ADBE,28,532.5454,29.646275,502.89914,,DROP,
ADBE,30,64.79518,-26.819294,91.61447,,DROP,
ADHLF,1,1677.2946,1190.2762,487.0183,-37.499996185302734,DROP,
ADHLF,2,1190.2762,100.25678,1090.0194,-71.25,DROP,
ADHLF,3,100.25678,67.56486,32.691925,-77.2727279663086,DROP,
ADHLF,4,67.56486,27.08955,40.475307,-75.0,DROP,
ADHLF,25,72.53841,-28.850784,101.38919,,DROP,
AA,2,60.395336,37.509712,22.885624,-61.291343688964844,DROP,
AA,4,2437.5896,1427.1494,1010.4402,75.76947784423828,DROP,
AA,5,1427.1494,1129.1366,298.01282,674.80126953125,DROP,
AA,6,1129.1366,674.15216,454.98444,58.76316452026367,DROP,
AA,7,674.15216,104.30099,569.8512,-54.087615966796875,DROP,
AA,8,104.30099,57.70181,46.59918,-8.97436809539795,DROP,
AA,9,57.70181,52.251896,5.449913,-13.272655487060547,DROP,
AA,11,71.26871,-5.6686077,76.93732,-8.395923614501953,DROP,
AA,26,133.37425,71.31318,62.061073,,DROP,
AA,27,71.31318,55.905064,15.408115,,DROP,
AA,28,55.905064,36.619503,19.28556,,DROP,
AA,31,51.64677,24.380156,27.266615,,DROP,
AAMAF,8,104.30099,8.752344,95.548645,-99.98947143554688,DROP,
AAMAF,26,240.42279,176.21619,64.206604,,DROP,
AAMAF,27,176.21619,55.905064,120.31113,,DROP,
AAMAF,28,55.905064,-8.554088,64.45915,,DROP,
AAMTF,4,2437.5896,1.7633529,2435.8262,22.663637161254883,DROP,
AAMTF,6,1129.1366,80.899956,1048.2367,22.444387435913086,DROP,
AAMTF,8,104.30099,57.70181,46.59918,47.71395492553711,DROP,
AAMTF,10,110.84409,69.411064,41.43303,2.2049529552459717,DROP,
AAMTF,11,69.411064,14.105149,55.305916,8.485459327697754,DROP,
AAMTF,27,176.21619,55.905064,120.31113,,DROP,
AAMTF,28,55.905064,4.8249474,51.080116,,DROP,
AAP,4,2437.5896,1427.1494,1010.4402,44.36503982543945,DROP,
AAP,5,1427.1494,1.0289541,1426.1205,53.26655960083008,DROP,
AAP,12,103.65305,81.233574,22.41948,,DROP,
AAP,13,81.233574,34.94369,46.289883,,DROP,
AAP,26,133.37425,71.31318,62.061073,,DROP,
AAP,27,71.31318,55.905064,15.408115,,DROP,
AAP,28,55.905064,36.619503,19.28556,,DROP,
AAPJ,3,100.25678,67.56486,32.691925,310.731689453125,DROP,
AAPJ,4,67.56486,27.08955,40.475307,1.3105552196502686,DROP,
AAPJ,8,104.30099,57.70181,46.59918,-96.37041473388672,DROP,
AAPJ,9,57.70181,10.331876,47.369934,-90.89253234863281,DROP,
AAPJ,12,103.65305,33.410477,70.24258,,DROP,
AAPJ,15,57.139645,48.1791,8.960545,,DROP,
AAPJ,17,61.347836,1.7052516,59.642586,,DROP,
AAPJ,24,116.81446,72.53841,44.276054,,DROP,
AAPJ,26,133.37425,71.31318,62.061073,,DROP,
AAPJ,27,71.31318,-1.6182535,72.931435,,DROP,
AAPL,3,100.25678,67.56486,32.691925,106.64881134033203,DROP,
AAPL,5,312.2425,124.725586,187.5169,100.420654296875,DROP,
AAPL,6,124.725586,39.07087,85.65472,24.68379783630371,DROP,
AAPL,9,57.70181,52.251896,5.449913,8.571640014648438,DROP,
AAPL,12,103.65305,81.233574,22.41948,,DROP,
AAPL,13,81.233574,19.944904,61.28867,,DROP,
AAPL,19,112.222466,101.716034,10.506432,,DROP,
AAPL,20,101.716034,24.893658,76.82237,,DROP,
AAPL,22,124.158134,104.38473,19.773407,,DROP,
AAPL,23,104.38473,61.49995,42.884777,,DROP,
AAPL,26,240.42279,176.21619,64.206604,,DROP,
