Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
A,3,73.6492,8.300713,65.34849,53.52734375,DROP,
A,8,154.03885,64.37009,89.66876,10.358116149902344,DROP,
A,10,60.40358,38.723312,21.680267,-21.80475616455078,DROP,
A,11,38.723312,-22.170095,60.89341,-8.274112701416016,DROP,
A,25,910.69867,741.9983,168.70038,,DROP,
A,26,741.9983,323.72098,418.2773,,DROP,
A,27,323.72098,83.31704,240.40393,,DROP,
A,28,83.31704,4.457259,78.85978,,DROP,
AA,3,73.6492,8.300713,65.34849,-68.14130401611328,DROP,
AA,8,154.03885,64.37009,89.66876,-8.97436809539795,DROP,
AA,10,60.40358,38.723312,21.680267,-23.437419891357422,DROP,
AA,12,156.51398,-28.978989,185.49297,,DROP,
AA,25,910.69867,741.9983,168.70038,,DROP,
AA,26,741.9983,323.72098,418.2773,,DROP,
AA,27,323.72098,83.31704,240.40393,,DROP,
AA,28,83.31704,4.457259,78.85978,,DROP,
AABB,3,73.6492,8.300713,65.34849,-92.8395767211914,DROP,
AABB,12,156.51398,120.64286,35.871117,,DROP,
AABB,13,120.64286,11.935084,108.70778,,DROP,
AABB,25,910.69867,741.9983,168.70038,,DROP,
AABB,26,741.9983,323.72098,418.2773,,DROP,
AABB,27,323.72098,83.31704,240.40393,,DROP,
AABB,28,83.31704,4.457259,78.85978,,DROP,
AABVF,3,73.6492,8.300713,65.34849,-48.38710021972656,DROP,
AABVF,10,60.40358,38.723312,21.680267,0.0,DROP,
AABVF,11,38.723312,-22.170095,60.89341,-19.999998092651367,DROP,
AABVF,25,910.69867,741.9983,168.70038,,DROP,
AABVF,26,741.9983,323.72098,418.2773,,DROP,
AABVF,27,323.72098,83.31704,240.40393,,DROP,
AABVF,28,83.31704,-43.998363,127.3154,,DROP,
AACAF,3,73.6492,8.300713,65.34849,-37.48862838745117,DROP,
AACAF,8,154.03885,64.37009,89.66876,106.98922729492188,DROP,
AACAF,10,60.40358,38.723312,21.680267,64.73701477050781,DROP,
AACAF,11,38.723312,-22.170095,60.89341,-22.454063415527344,DROP,
