Security,Block,Winner,Future_Return,Event_Type,Avg_MarketCap,Median_MarketCap,Min_MarketCap,Max_MarketCap
A,7,True,44.052483,DROP,18549415431.365967,18787434776.306152,14943680450.439451,21950500297.546387
A,8,True,31.800186,DROP,19999661403.808594,19790364751.815796,17059580596.923828,22941748809.814453
A,20,True,46.264805,DROP,24475498769.74106,24360555912.017822,19834809665.67993,28210689140.319824
A,25,True,58.48645,DROP,35769181742.97333,36577320190.42969,29683679809.57032,42438058868.40821
A,28,True,18.1685,DROP,45522966563.26294,45936720840.4541,35761889335.63232,55038959625.24414
A,31,False,-13.307542,DROP,41872169200.93536,41229900093.07861,34151129722.59521,50275800933.83789
A,32,False,-0.7445786,DROP,39794452479.05731,39721599540.71045,34151129722.59521,49229281494.14063
A,33,True,3.280601,DROP,39349113926.50604,39107095832.82471,34151129722.59521,46931042007.44629
A,6,True,44.277966,ACQ,17065742667.827608,17087160400.390625,14172879699.707031,20003749752.04468
A,19,True,20.694244,ACQ,24373438300.628662,24072829170.22705,21119978820.80078,28210689140.319824
A,24,True,57.569458,ACQ,32803678197.631836,31841158905.029297,25274750000.0,40467318481.44531
A,27,True,28.158812,ACQ,43197240040.16876,41273129905.70068,35761889335.63232,55038959625.24414
A,30,False,-16.348988,ACQ,45435221057.31964,46412550933.83789,34272330184.936523,55038959625.24414
AA,7,True,86.853966,DROP,6709532636.832555,6450496307.484055,5123695810.078811,9004274098.961258
AA,9,True,47.73069,DROP,8038070273.440212,8280166810.299301,5531351014.496803,10622098559.841536
AA,10,True,7.9332976,DROP,8828344770.132658,8808569320.66021,6913030805.44014,11225986533.67958
AA,14,False,-52.71618,DROP,7009679562.432337,7207519565.22007,4687590223.899652,9388227361.919022
AA,28,True,191.14857,DROP,7742568892.687979,7516530086.517334,5098633850.186539,10932840320.587158
AA,33,False,-35.227413,DROP,10383108486.401085,9261819885.253906,6025139972.686768,17649162350.72022
AA,35,False,-27.03665,DROP,8195304166.717529,8306075126.647949,6025139972.686768,10587119659.423828
AA,6,True,123.35324,ACQ,5962639480.230605,6069791603.660202,3851229240.506744,7035958618.58139
AA,8,True,31.628033,ACQ,7204949958.826158,6940056403.758812,5531351014.496803,9334176165.281675
AA,12,False,-50.62187,ACQ,8862863346.32095,8812296756.478882,6721054173.961258,11225986533.67958
AA,13,False,-37.771095,ACQ,8050148877.162015,8153425104.920769,4918707953.239442,11225986533.67958
AA,27,True,145.76584,ACQ,6470572370.395117,6766999826.431274,3347024400.0,9819200057.983397
AA,32,False,-19.56317,ACQ,11389533054.192337,11066467226.134872,6025139972.686768,17649162350.72022
AA,34,False,-39.36225,ACQ,8810175723.876953,8734985197.06726,6025139972.686768,12315880401.611328
AABB,1,True,66.67527,DROP,3055580.9089842155,2724984.3509346247,1923558.381638676,6315399.175181985
AABB,6,False,-85.00335,DROP,1952896.8591330235,1602851.7800562086,961779.190819338,16968848.460197452
AABB,13,True,82.01856,DROP,10704285.46551946,9617791.432586312,801425.8900281043,32059419.343745697
AABB,16,False,-88.777824,DROP,6100572.033445453,4744550.202009083,2179919.31040138,23723772.61402607
AABB,17,False,-73.64334,DROP,4231959.386913582,4007129.370872677,1923558.381638676,10258864.10109103
AABB,27,True,3776.2178,DROP,190994596.9060022,226611314.44068834,1442498.4792649746,501727895.3564911
AABB,29,False,-57.237137,DROP,287620556.73859346,244082397.36077368,180940413.5105498,615414121.958205
AABB,30,False,-42.69948,DROP,282749184.62202317,241130048.04334107,180940413.5105498,615414121.958205
AABB,31,False,-64.088844,DROP,264530186.0153701,232614549.9455533,131533865.17472228,615414121.958205
AABB,32,False,-83.573586,DROP,211284124.09759358,191609608.01046556,101324831.66760764,615414121.958205
AABB,5,False,-66.29931,ACQ,2997203.481021717,1602851.7800562086,961779.190819338,16968848.460197452
AABB,12,True,158.03386,ACQ,8405674.124656709,4408012.54358291,801425.8900281043,32059419.343745697
AABB,14,False,-11.643967,ACQ,11314610.10026067,9617791.432586312,2243924.448560924,32059419.343745697
AABB,15,False,-92.80073,ACQ,10000668.258860182,7052820.323389769,2243924.448560924,32059419.343745697
AABB,26,True,2775.2195,ACQ,132664663.11178495,71332179.5668244,897433.597267419,501727895.3564911
AABB,28,False,-36.82392,ACQ,271735736.85726553,243085331.66309875,43921133.16392896,551339697.69942
AABVF,6,True,8.333332,DROP,9968060.444881935,10429088.94348889,8282025.329098105,11377187.745700024
AABVF,7,True,27.272728,DROP,9692694.349372378,9780352.947004134,8002107.317975163,11558598.576033114
AABVF,8,True,50.000008,DROP,9796090.122969339,9780352.947004134,8002107.317975163,13336845.529958598
AABVF,29,False,-61.11111,DROP,19719273.246715214,17972648.258560143,12771918.507510424,33676703.24726699
AABVF,31,False,-75.0,DROP,13536851.135366883,14191020.211462677,8223137.816198542,18565780.319011208
AABVF,4,False,-9.090907,ACQ,11378164.223872222,11377187.745700024,10429088.94348889,13529040.05759954
AABVF,5,False,-15.384613,ACQ,10659395.80307253,10429088.94348889,8282025.329098105,13375110.056944186
AABVF,25,True,340.0,ACQ,12001449.084221533,4811310.0716941,1924523.9569835365,36977260.46934425
AABVF,26,True,300.0,ACQ,17192508.516537312,17703749.186216287,1924523.9569835365,36977260.46934425
AABVF,27,True,42.857143,ACQ,21959940.519306645,21869336.31720691,4811310.0716941,36977260.46934425
AABVF,28,False,-64.28572,ACQ,21527891.6256202,19786542.751711607,13538160.50342321,36977260.46934425
AABVF,30,False,-77.27273,ACQ,16780981.006716438,15709506.914876394,10964183.75493139,30870311.832726
AACAF,1,True,53.616356,DROP,8880404765.920639,8546879754.066467,6901359859.466553,11580040374.755856
AACAF,4,True,23.28767,DROP,11794264622.60246,11653719718.933104,9234559976.57776,14465839672.088623
AACAF,7,True,102.82485,DROP,15643540252.87808,15185073769.132233,10548520187.377928,22653187686.748505
AACAF,13,False,-70.10979,DROP,15149702328.32266,15224905531.625746,7980797500.0,24801863936.748505
AACAF,32,False,-38.87468,DROP,3052619959.612972,2661419065.9389496,2232353417.168856,5244890184.402466
AACAF,3,True,52.387844,ACQ,10904762811.59401,10757280281.066896,8080239906.311036,14257079578.399658
AACAF,6,True,81.6786,ACQ,13419897164.625704,12881719718.933105,10548520187.377928,17997576825.0
AACAF,11,False,-51.492958,ACQ,21164154177.8352,21793716250.0,15224905531.625746,28792262686.748505
AACAF,12,False,-69.1365,ACQ,18529324563.597225,18423364215.512276,11664242500.0,24912367474.09821
AACAF,31,False,-59.47712,ACQ,3737328828.05804,3492359914.8473744,2400380000.0,6344625000.0
AACAY,1,True,60.04397,DROP,8895699509.925842,8648803978.919983,7033984201.431274,11560391456.604004
AACAY,4,True,31.155851,DROP,11792348876.504898,11790642042.16003,9272628145.217894,14225151550.29297
AACAY,7,True,97.69937,DROP,44059987954.97668,18782500126.430992,10902184318.54248,125139342710.36472
AACAY,13,False,-69.92444,DROP,15085978723.265423,15274018084.788322,6973988989.231586,25354379281.62575
AACAY,31,False,-60.29412,DROP,3654166387.022287,3371933542.576313,2300140379.8034186,5595355138.301849
AACAY,32,False,-42.408375,DROP,2913789451.715458,2571099502.07448,1824288777.1081924,5190369151.091576
AACAY,3,True,58.134182,ACQ,10866872813.014984,10807628145.217896,8247248098.373413,14225151550.29297
AACAY,6,True,77.41905,ACQ,41782545185.02036,13630799882.888794,10360636337.280272,125139342710.36472
AACAY,11,False,-52.431,ACQ,21292902795.08314,21939826768.946648,15274018084.788322,28579850279.579163
AACAY,12,False,-68.38985,ACQ,18588615673.78957,18392668723.418713,11480070718.374252,25354379281.62575
AACAY,30,False,-67.65677,ACQ,4687805973.679016,4906509930.849075,2348310957.4236875,7770654792.547226
AACG,5,True,26.052633,DROP,44059222.34037293,43477904.90076542,33867207.3262453,56280475.46334267
AACG,12,False,-78.35498,DROP,52694045.04872858,59139249.563217156,10648500.08189678,78661498.68965149
AACG,13,False,-78.89546,DROP,40568495.09240687,51525000.0,10648500.08189678,78661498.68965149
AACG,15,False,-46.80851,DROP,26536912.9596591,21290000.0,10648500.08189678,81966497.96962737
AACG,21,False,-37.368416,DROP,21874350.055898666,21213349.912869934,9789906.243860722,45404953.8671732
AACG,30,False,-51.582283,DROP,38352317.58278948,39525000.30398369,16219631.40506744,84150003.34382057
AACG,31,False,-14.782604,DROP,31349108.96364084,26668818.594932556,14902665.962201357,84150003.34382057
AACG,4,False,-28.282827,ACQ,46575200.65120829,45498369.10874844,33867207.3262453,60876001.73950195
AACG,10,False,-11.691022,ACQ,57480144.69861984,58452250.21839142,47402998.47126007,70875500.65517426
AACG,11,False,-76.724144,ACQ,57808759.903907776,59081998.252868645,46715999.12643433,70875500.65517426
AACG,14,False,-60.85271,ACQ,30929046.07925415,22141599.18785095,10648500.08189678,78661498.68965149
AACG,20,False,-52.888893,ACQ,27368961.9445582,23816709.53130722,9789906.243860722,55992702.43644714
AACG,27,False,-2.5423706,ACQ,63775686.51637125,45803168.4817791,16850871.25096321,412527835.5023384
AACG,28,False,-69.07731,ACQ,51017101.62498546,43714112.58723736,20586456.818032265,152606447.89953232
