security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
MRIB,8,0.79324593638469,192.45013961425101,192.45013961425101,0.0,0.0,volume,50000000.0,192.45013961425101,50000000.0,500
CALIQ,8,0.7862693703311595,2190.3260217609445,7.205054989185101,-2183.1209667717594,-99.67105102539062,volume,50000000.0,2190.3260217609445,50000000.0,500
PRXIQ,8,0.7751568285163158,512.2035926156505,5.121996848123729,-507.0815957675267,-99.00000762939452,volume,49999998.47181532,512.2035926156505,49999998.47181532,500
HCKG,9,0.7639487696517405,294.56444097356797,412.67981066945157,118.1153696958836,40.09831237792969,volume,49999995.5125925,294.56444097356797,49999995.5125925,500
WMGR,8,0.755485789584748,1700.9146422281365,1700.9146422281365,0.0,0.0,volume,49999993.96934018,1700.9146422281365,49999993.96934018,500
AHFD,10,0.7530620657474414,4061.0120069954864,4462.65071716031,401.63871016482335,9.890113830566406,volume,49999992.68329659,4061.0120069954864,49999992.68329659,500
SNRS,9,0.7493936411967943,150.74138834392326,150.74138834392326,0.0,0.0,volume,49999991.16398265,150.74138834392326,49999991.16398265,500
UBIA,9,0.7448305500930072,280.1117053748157,9.337063969436258,-270.77464140537944,-96.66666412353516,volume,49999989.861713566,280.1117053748157,49999989.861713566,500
AOLS,9,0.7446123096158276,223.77946632662125,223.77946632662125,0.0,0.0,volume,49999989.617591254,223.77946632662125,49999989.617591254,500
TLDN,9,0.7421909793320127,856.345351720923,20.88648474128388,-835.4588669796391,-97.56097412109376,volume,49999988.88522431,856.345351720923,49999988.88522431,500
RTGC,8,0.7396668711323989,917.2533679477897,10587.725069894794,9670.471701947004,1054.2857666015625,volume,49999987.90221972,917.2533679477897,49999987.90221972,500
ZZZOF,8,0.7388729658052847,128.58529697515306,43.89498757757295,-84.69030939758011,-65.8631362915039,volume,49999989.82035664,128.58529697515306,49999989.82035664,500
PLYZ,9,0.7368432556474377,200406.23738741936,200406.23738741936,0.0,0.0,volume,49999991.713086456,200406.23738741936,49999991.713086456,500
PAANF,8,0.7330785851830134,192.86029929251342,14547.239551280576,14354.379251988063,7442.8896484375,volume,49999993.605816275,192.86029929251342,49999993.605816275,500
APRU,10,0.7324236399620074,956.5152523278607,1641.2672640286664,684.7520117008057,71.58819580078125,volume,49999997.738512,956.5152523278607,49999997.738512,500
FRTG,8,0.7296158509691559,2485.5157219318608,0.30701064711047366,-2485.2087112847503,-99.9876480102539,volume,50000004.1429812,2485.5157219318608,50000004.1429812,500
AJYG,10,0.7250878144403764,5095.726404061126,809.6012604972766,-4286.12514356385,-84.11215209960938,volume,50000011.68818998,5095.726404061126,50000011.68818998,500
VGID,10,0.7247736529028902,624.7702724794385,337.71363825487737,-287.05663422456115,-45.94594955444336,volume,50000013.14587966,624.7702724794385,50000013.14587966,500
RGDXQ,8,0.7212650744338996,196.20108681918407,196.20108681918407,0.0,0.0,volume,50000018.861815736,196.20108681918407,50000018.861815736,500
