capital_level,size_bucket,n_positions,total_capital_deployed,avg_position_size,volume_constrained_%,capital_constrained_%,security_constrained_%,win_rate_%,avg_return_%,total_pnl
$1M,<$25k,261,570251.5613261065,2184.871882475504,100.0,0.0,0.0,21.455938697318008,15.968006159414426,-128354.51398799912
$1M,$25-100k,26,1474895.4580248029,56726.74838556934,100.0,0.0,0.0,19.230769230769234,201.8355744802035,5322440.097069165
$1M,$100-500k,16,3730701.8275642125,233168.86422276328,100.0,0.0,0.0,18.75,-31.52477230850485,-1392156.6084186744
$1M,$500k-$1M,2,1290378.2466457284,645189.1233228642,100.0,0.0,0.0,0.0,-61.73294258117676,-839756.0370422549
$1M,>$1M,21,422259941.5465423,20107616.264121063,57.14285714285714,33.33333333333333,9.523809523809524,4.761904761904762,-75.92092386293886,-298208783.049279
$1B,<$25k,322,742005.5224629017,2304.364976592862,100.0,0.0,0.0,21.73913043478261,16.64020475786128,-154084.31563422448
$1B,$25-100k,30,1669685.0865346778,55656.16955115592,100.0,0.0,0.0,23.333333333333332,173.8244216601054,5303625.810947695
$1B,$100-500k,24,5652450.949959828,235518.78958165948,100.0,0.0,0.0,25.0,-33.16273037078398,-2128582.9537934214
$1B,$500k-$1M,5,3637379.524860378,727475.9049720756,100.0,0.0,0.0,20.0,-25.673040771484374,-921674.4859353374
$1B,>$1M,24,456331689.9104829,19013820.412936788,58.333333333333336,29.166666666666668,12.5,4.166666666666666,-73.49171304188587,-315621277.9168238
