Block_ID,Cluster_ID,Mean_Return,Std_Return,Num_Observations,Num_Securities
4,14,66037.27892073749,311993.62214171985,63,63
4,30,49825.24793195292,276254.06657843187,63,63
0,60,49152.79306783174,168754.0625204773,38,38
1,17,47299.76027675562,242823.3811451206,34,34
0,6,46948.27175334415,383938.19323534303,69,69
1,52,40317.66643590431,199914.6743289295,25,25
2,44,35672.99108593839,195635.55640923762,53,53
3,47,25760.373482104733,161702.21389706645,78,78
9,66,25030.158458570746,281940.51312184136,128,128
2,50,23029.17257582838,174148.94579972562,62,62
9,0,22801.999574848476,145155.93736534205,160,160
5,65,22170.20098797679,196426.36154801064,102,102
7,39,21858.17860932796,202984.14224033864,94,94
4,46,19851.085145491037,129398.80967769818,44,44
0,49,19297.19204419884,95903.81469033871,51,51
8,46,19063.649783646597,160539.93584315703,73,73
6,60,17764.050694405658,184282.4303101146,114,114
9,68,15833.225387987803,117649.92566003706,73,73
5,38,14690.504259977131,81494.86608090713,61,61
3,45,14076.83634359566,140340.62510384887,286,286
0,58,13252.490521971375,160676.23096947273,150,150
1,1,12251.07555288789,60600.30058156699,58,58
6,33,12091.032233933593,98084.62663495704,120,120
2,14,11960.368898631341,137897.2314041081,205,205
6,21,11244.033282458498,77035.8906224957,64,64
6,24,11033.110042273702,145573.81287181863,185,185
6,40,10969.276652935267,114526.68476477262,228,228
0,3,10715.596556530147,102030.10277124704,96,96
3,6,10202.056658274236,139206.1983372084,200,200
7,52,9491.441966811031,91359.5991471956,120,120
4,24,9028.644665727403,105551.90766498978,169,169
6,59,8758.739406087161,76616.71345863462,186,186
8,17,8596.912188185886,99332.14316435179,206,206
8,57,8547.656700667054,118909.20673418879,285,285
1,10,8437.005828219377,65116.45101220241,75,75
7,67,8347.393546066443,32819.84839531467,49,49
9,2,8323.296500105722,79297.8066889131,118,118
1,19,8212.021322829441,88355.71883906313,128,128
0,26,8167.455587655945,68650.73536236453,79,79
2,48,8042.572036293107,65939.46158882574,82,82
1,35,7862.482411427434,48102.97109354795,86,86
0,12,7774.558521156821,102244.98278661283,180,180
5,28,7637.7258768526135,76853.93139649877,125,125
4,12,7597.650140661791,29400.58434469576,59,59
2,36,7419.060248680337,120046.82184922585,272,272
8,37,7106.214387608793,31597.741091648877,38,38
7,28,7078.255936090016,83609.72591323461,143,143
6,43,6671.474447195774,31769.42004579293,44,44
3,46,6625.133253831252,59771.73462989707,104,104
1,33,6481.564355982344,69738.85969709957,153,153
8,43,6449.351120594615,75266.90060028064,178,178
1,42,6085.69087747957,56304.43981083337,232,232
3,15,5793.532787922487,85984.27844795074,255,255
9,32,5792.781846064624,29102.265113215013,45,45
9,57,5369.30353867132,28252.78511884568,57,57
4,1,4973.688203770676,43286.897940067545,185,185
8,34,4799.602001133059,47446.997647606135,161,161
8,41,4718.5600313190225,46251.383740420475,152,152
5,57,4547.877749682287,64946.09096819811,237,237
5,33,4489.61424059844,47733.335454850065,139,139
7,59,4480.082864721709,50122.6549410767,142,142
3,3,4476.70188159549,60171.83410976932,284,284
8,67,4451.328047816995,60556.4599648338,201,201
8,44,4258.031094839388,45333.16803591397,187,187
3,37,4201.696595243487,44445.38005743581,161,161
5,9,4006.4913418291594,19598.096741946913,51,51
4,42,3898.387867302945,58120.31599141509,298,298
2,45,3580.507567304844,36648.30913254421,151,151
7,32,3470.4579306007718,34562.09161190625,136,136
0,29,3416.2739208677385,36411.71239563398,154,154
4,15,3309.387033464493,43448.26805341772,189,189
5,12,3279.3827839613828,55815.65058003876,321,321
9,63,3218.0108414377237,37242.06527329002,146,146
2,54,3213.7573646945525,33574.47507169458,145,145
2,53,3184.2040271101173,16780.70526050965,93,93
6,62,3144.3153645938924,15524.850767611877,74,74
3,36,3079.7180950092165,31187.072249255474,169,169
0,38,3071.4058450718367,12367.465370442686,66,66
7,16,3057.526160735383,18221.096954561126,39,39
2,35,3037.6767827957406,53988.54893127889,343,343
6,42,2988.9254833646646,19025.506403562587,78,78
4,33,2921.9597590497933,13460.486309179709,32,32
5,34,2776.2654647711247,31951.150669417242,159,159
6,47,2772.566886748679,18966.84276766873,111,111
6,29,2714.930514759412,12103.26381262824,56,56
5,51,2708.1447606305856,14483.404928830807,106,106
3,40,2678.775316675255,28955.276063044505,257,257
0,35,2604.9421164065857,48394.20302547753,428,428
4,11,2558.334350287453,18226.141031938085,84,84
2,22,2504.92851425584,37054.545912072805,271,271
0,55,2473.9493740830435,18549.70657380908,136,136
0,2,2346.125964564114,14083.12852062528,83,83
5,37,2343.5683758303094,16500.86441276316,104,104
3,5,2312.3445202182397,10266.22052429527,97,97
5,16,2284.0879678183637,18820.971481179447,121,121
1,5,2231.14060016117,11920.49024029456,96,96
7,26,2173.1076207531232,16353.875822396114,162,162
1,2,2163.77184813099,14639.681262389817,71,71
