Composite_Decile,Net_Quality_Delta_mean,Net_Quality_Delta_median,Net_Quality_Delta_std,Quality_Momentum_Score_mean,Quality_Momentum_Score_median,Quality_Momentum_Score_std,Weighted_Avg_Final_Return_mean,Weighted_Avg_Final_Return_median,Weighted_Avg_Final_Return_std,Acquisition_Event_Count_mean,Acquisition_Event_Count_median,Acquisition_Event_Count_std,Loss_Event_Count_mean,Loss_Event_Count_median,Loss_Event_Count_std,Event_Balance_Ratio_mean,Event_Balance_Ratio_median,Event_Balance_Ratio_std,Events_Per_Block_mean,Events_Per_Block_median,Events_Per_Block_std
1,-9.736,-8.979,4.462,-75.987,-0.0,187.553,-36.936,-30.68,31.397,1.125,1.0,0.887,2.398,2.0,0.925,0.258,0.333,0.165,1.0,1.0,0.0
2,-7.895,-7.494,4.743,0.0,-0.0,0.0,0.519,0.0,40.663,1.465,1.0,0.764,2.37,2.0,0.889,0.367,0.333,0.119,1.0,1.0,0.0
3,-5.072,-4.209,6.105,-21.347,-0.0,108.544,1005.433,0.0,7977.672,1.535,1.0,0.721,2.063,2.0,0.99,0.446,0.5,0.162,1.0,1.0,0.0
4,-1.373,-1.059,6.186,-53.071,-0.0,213.134,85.333,0.0,554.875,1.575,1.0,0.751,1.748,2.0,1.016,0.51,0.5,0.224,1.0,1.0,0.0
5,-1.817,-1.555,6.543,41.67,0.0,356.816,78.771,7.307,268.15,1.453,1.0,0.859,1.633,2.0,0.812,0.449,0.5,0.209,1.0,1.0,0.0
6,-0.06,1.212,6.878,1460.923,-0.0,13363.926,96.587,7.326,469.464,1.535,1.0,0.933,1.583,1.0,0.739,0.464,0.5,0.2,1.0,1.0,0.0
7,1.853,1.389,5.3,2006.422,0.0,21161.253,207.976,39.165,1084.022,1.701,2.0,0.876,1.512,1.0,0.665,0.498,0.5,0.173,1.0,1.0,0.0
8,4.752,5.265,4.755,1281.579,0.0,9189.844,842.372,7.255,4537.156,1.85,2.0,0.883,1.339,1.0,0.847,0.602,0.6,0.199,1.0,1.0,0.0
9,7.688,7.623,3.663,0.0,0.0,0.0,912.534,0.0,8867.788,2.0,2.0,0.934,0.976,1.0,0.938,0.765,0.667,0.186,1.0,1.0,0.0
10,10.708,9.988,4.386,287.465,0.0,1182.07,3819.12,76.309,35727.864,2.156,2.0,0.959,0.797,1.0,0.797,0.803,0.75,0.171,1.0,1.0,0.0
