Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Acq_Winsor_Median_Return,Loss_Winsor_Median_Return,Acq_Recency_Weighted_Jump_Sum,Loss_Recency_Weighted_Loss_Sum,Net_Quality_Delta_Recency,Acq_Recency_Winsor_Mean_Return,Loss_Recency_Winsor_Mean_Return,Weighted_Winsor_Final_Return_Recency,Quality_Momentum_Score_Adj,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Recency_Percentile,Quality_Momentum_Score_Adj_Percentile,Weighted_Winsor_Final_Return_Recency_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
ASLRF,1.0,10.946830890336592,10.946830890336592,1006.7193241212576,1006.7193241212576,0.0,0.0,0.0,0.0,0.0,1.0,10.946830890336592,1.0,1006.7193241212576,0.0,9.51671758603216,0.0,9.51671758603216,1006.7193241212576,0.0,1006.7193241212576,9580.663496063182,1,1,1.0,0.8986645718774549,0.9937156323644933,0.9709347996857817,0.94344069128044,0.5003927729772192,0.9062843676355067
APCX,1.0,7.548185690528653,7.548185690528653,621.4285584736847,621.4285584736847,0.0,0.0,0.0,0.0,0.0,1.0,7.548185690528653,1.0,621.4285584736847,0.0,7.548185690528653,0.0,7.548185690528653,621.4285584736847,0.0,621.4285584736847,4690.658152756915,1,1,1.0,0.8405341712490181,0.992930086410055,0.9536527886881383,0.94344069128044,0.5003927729772192,0.8851531814611154
AAEEF,1.0,8.669273143432884,8.669273143432884,536.6208028271237,536.6208028271237,0.0,0.0,0.0,0.0,0.0,1.0,8.669273143432884,1.0,536.6208028271237,0.0,7.387467264027915,0.0,7.387467264027915,536.6208028271237,0.0,536.6208028271237,3964.268614081755,1,1,1.0,0.8318931657501963,0.9921445404556166,0.9497250589159466,0.94344069128044,0.5003927729772192,0.8815396700706991
AYASF,1.0,7.836361089058047,7.836361089058047,342.52951602056834,342.52951602056834,0.0,0.0,0.0,0.0,0.0,1.0,7.836361089058047,1.0,342.52951602056834,0.0,7.233873017497663,0.0,7.233873017497663,342.52951602056834,0.0,342.52951602056834,2477.815023637723,1,1,1.0,0.826394344069128,0.9850746268656716,0.9230164964650432,0.94344069128044,0.5003927729772192,0.8724273369992145
BFNH,1.0,7.376543209876544,7.376543209876544,395.6363731691661,395.6363731691661,0.0,0.0,0.0,0.0,0.0,1.0,7.376543209876544,1.0,395.6363731691661,0.0,6.674572312055382,0.0,6.674572312055382,395.6363731691661,0.0,395.6363731691661,2640.703581996927,1,1,1.0,0.8075412411626081,0.9874312647289867,0.9371563236449332,0.94344069128044,0.5003927729772192,0.8703063629222308
AMSU,2.0,20.081361716937245,10.040680858468622,31.99999731779115,31.99999731779115,0.0,0.0,0.0,0.0,0.0,2.0,20.081361716937245,1.0,31.99999731779115,0.0,18.043876324230684,0.0,18.043876324230684,31.99999731779115,0.0,31.99999731779115,577.4039939779371,2,2,1.0,0.9945011783189317,0.969363707776905,0.6630007855459544,0.94344069128044,0.5003927729772192,0.8661429693637078
AWWI,2.0,14.213825032885266,7.106912516442633,28.26087027511046,28.26087027511046,0.0,0.0,0.0,0.0,0.0,2.0,14.213825032885266,1.0,28.26087027511046,0.0,13.655111048012289,0.0,13.655111048012289,28.26087027511046,0.0,28.26087027511046,385.90532192010295,2,2,1.0,0.96700706991359,0.959937156323645,0.6512175962293795,0.94344069128044,0.5003927729772192,0.8527101335428123
ALL,3.0,18.732745153712063,6.244248384570688,18.57949269070168,18.57949269070168,0.0,0.0,0.0,0.0,0.0,3.0,18.732745153712063,1.0,18.57949269070168,0.0,17.184825596368015,0.0,17.184825596368015,18.579492690701677,0.0,18.579492690701677,319.28534155870267,3,3,1.0,0.9921445404556166,0.9520816967792616,0.6048703849175177,0.94344069128044,0.5003927729772192,0.8486252945797329
ASRE,2.0,12.675381570993032,6.337690785496516,32.19582859725411,32.19582859725411,0.0,0.0,0.0,0.0,0.0,2.0,12.675381570993032,1.0,32.19582859725411,0.0,11.822277543571467,0.0,11.822277543571467,32.19582859725411,0.0,32.19582859725411,380.62802142199337,2,2,1.0,0.9410840534171249,0.9583660644147682,0.6645718774548312,0.94344069128044,0.5003927729772192,0.8471327572663
AEYGQ,3.0,20.17472558871591,6.7249085295719695,13.478195913575197,13.478195913575195,0.0,0.0,0.0,0.0,0.0,3.0,20.17472558871591,1.0,13.478195913575195,0.0,19.155600173276945,0.0,19.155600173276945,13.478195913575197,0.0,13.478195913575197,258.1829319775416,3,3,1.0,0.9984289080911233,0.9481539670070699,0.5860172820109977,0.94344069128044,0.5003927729772192,0.8455616653574235
