Security,Composite_Quality_Event_Rank,Net_Quality_Delta_Recency,Quality_Momentum_Score_Adj,Weighted_Winsor_Final_Return_Recency
ASLRF,0.9062843676355067,9.51671758603216,9580.663496063182,1006.7193241212576
APCX,0.8851531814611154,7.548185690528653,4690.658152756915,621.4285584736847
AAEEF,0.8815396700706991,7.387467264027915,3964.268614081755,536.6208028271237
AYASF,0.8724273369992145,7.233873017497663,2477.815023637723,342.52951602056834
BFNH,0.8703063629222308,6.674572312055382,2640.703581996927,395.6363731691661
AMSU,0.8661429693637078,18.043876324230684,577.4039939779371,31.99999731779115
AWWI,0.8527101335428123,13.655111048012289,385.90532192010295,28.26087027511046
ALL,0.8486252945797329,17.184825596368015,319.28534155870267,18.579492690701677
ASRE,0.8471327572663,11.822277543571467,380.62802142199337,32.19582859725411
AEYGQ,0.8455616653574235,19.155600173276945,258.1829319775416,13.478195913575197
ALLT,0.843912018853103,6.719902426908152,691.253959563366,102.86666615804036
ACCR,0.8432835820895522,5.630268968285829,1144.3899606442099,203.2567124395527
ABEPF,0.8413197172034562,5.760610891222723,905.3882801938522,157.16879638119048
AMXEF,0.8389630793401414,5.971280067225083,783.5704823810956,131.2232006470313
ATHJF,0.8322859387274156,5.58481514314022,726.6367725645493,130.10936869720226
AMLC,0.824037706205813,4.963534855439581,661.8046730733505,133.33333850734886
AMKAF,0.8208169677926159,4.866997383030159,625.9789249375309,128.6170662676216
AETUF,0.8177926158680283,4.741145994278357,571.4961265883253,120.53966009019976
AUB,0.8106048703849175,12.216496480437158,2.082404760140392,0.1704584259059087
BBBT,0.8084053417124902,6.519756838905775,274.0082640400157,42.02737476417956
BB,0.8048703849175177,4.530546367097774,388.39488416954094,85.72804529497469
ASM,0.8007855459544383,5.428907854449179,304.2689255234252,56.046065558852
ARTW,0.800078554595444,4.380258319208205,346.2029679324101,79.03711212972281
BBSRF,0.7913589945011784,6.639192572668472,140.2013529340959,21.117229452156884
AZNCF,0.7785153181461116,4.957799638714084,165.5681566441237,33.39549169176742
AZN,0.7763157894736842,4.957799638714084,155.64728844030353,31.394428936759965
BEEM,0.7706598586017284,18.426982618905832,0.0,394.6558008838592
AMMCF,0.7691280439905733,5.55813953488372,88.84438312011729,15.984554285209388
ASPN,0.7672820109976434,14.253149526210247,0.0,682.1237291781542
ACKAY,0.7669285153181461,5.202504483040002,96.2134603292511,18.49368138805145
AXIM,0.7664571877454832,6.513074203957861,7.196106143266383,1.104870897815575
ARYMF,0.7625687352710134,14.729559239750502,0.0,782.3529435100564
ANAS,0.7593479968578163,11.389413047730365,0.0,1101.1411925897132
ASNCF,0.7543205027494109,14.68266351434675,0.0,175.86327453268945
BGNX,0.7510212097407699,14.933277401628972,0.0,209.9999941792464
AMNI,0.7508641005498822,15.228742619774392,0.0,129.4009841424029
AFNL,0.7485074626865672,15.290091960210848,0.0,116.00000000000004
BCHMF,0.7472505891594659,11.93489190350911,0.0,373.79455669906866
AQQSQ,0.745758051846033,11.443232524533432,0.0,400.0
BBBK,0.7419481539670071,4.870528136468883,1.0642086241373498,0.2184996358339278
AGGI,0.7379025923016497,10.419278235577822,0.0,372.10359370744646
ASKH,0.7362529457973293,10.239402650103047,0.0,352.723773030985
BABLD,0.7355852317360566,9.209964765876798,0.0,599.0384550908441
BABL,0.7355852317360566,9.209964765876798,0.0,599.0384550908441
AZTA,0.7336606441476827,10.555499392895296,0.0,150.0972202671736
BAJFF,0.7313825608798115,19.563068812865303,0.0,52.21164079899334
ABGSF,0.7303613511390417,12.733312291190666,0.0,110.26191062269054
ASPR,0.725490966221524,9.510536268941259,0.0,200.00002182783797
AHNR,0.7238805970149255,11.990885261703959,0.0,136.36363913451356
AIMLF,0.7223487824037707,7.962423677854137,0.0,389.366326666933
