Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Acq_Winsor_Median_Return,Loss_Winsor_Median_Return,Acq_Recency_Weighted_Jump_Sum,Loss_Recency_Weighted_Loss_Sum,Net_Quality_Delta_Recency,Acq_Recency_Winsor_Mean_Return,Loss_Recency_Winsor_Mean_Return,Weighted_Winsor_Final_Return_Recency,Quality_Momentum_Score_Adj,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Recency_Percentile,Quality_Momentum_Score_Adj_Percentile,Weighted_Winsor_Final_Return_Recency_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
ASLRF,1.0,10.946830890336592,10.946830890336592,1006.7193241212576,1006.7193241212576,0.0,0.0,0.0,0.0,0.0,1.0,10.946830890336592,1.0,1006.7193241212576,0.0,7.714101348585096,0.0,7.714101348585096,1006.7193241212576,0.0,1006.7193241212576,7765.93489585047,1,1,1.0,0.8750981932443048,0.9937156323644933,0.9709347996857817,0.94344069128044,0.5003927729772192,0.8992144540455617
APCX,1.0,7.548185690528653,7.548185690528653,621.4285584736847,621.4285584736847,0.0,0.0,0.0,0.0,0.0,1.0,7.548185690528653,1.0,621.4285584736847,0.0,7.548185690528653,0.0,7.548185690528653,621.4285584736847,0.0,621.4285584736847,4690.658152756915,1,1,1.0,0.8680282796543598,0.992930086410055,0.9536527886881383,0.94344069128044,0.5003927729772192,0.8934014139827181
AAEEF,1.0,8.669273143432884,8.669273143432884,536.6208028271237,536.6208028271237,0.0,0.0,0.0,0.0,0.0,1.0,8.669273143432884,1.0,536.6208028271237,0.0,5.811187572601463,0.0,5.811187572601463,536.6208028271237,0.0,536.6208028271237,3118.4041405884013,1,1,1.0,0.798114689709348,0.9921445404556166,0.9497250589159466,0.94344069128044,0.5003927729772192,0.8714061272584447
AYASF,1.0,7.836361089058047,7.836361089058047,342.52951602056834,342.52951602056834,0.0,0.0,0.0,0.0,0.0,1.0,7.836361089058047,1.0,342.52951602056834,0.0,6.415869815835489,0.0,6.415869815835489,342.52951602056834,0.0,342.52951602056834,2197.624782869103,1,1,1.0,0.8232521602513747,0.9842890809112333,0.9230164964650432,0.94344069128044,0.5003927729772192,0.8712490180675571
BFNH,1.0,7.376543209876544,7.376543209876544,395.6363731691661,395.6363731691661,0.0,0.0,0.0,0.0,0.0,1.0,7.376543209876544,1.0,395.6363731691661,0.0,5.744857628211907,0.0,5.744857628211907,395.6363731691661,0.0,395.6363731691661,2272.8746363989767,1,1,1.0,0.7941869599371564,0.9850746268656716,0.9371563236449332,0.94344069128044,0.5003927729772192,0.8655930871956009
AMSU,2.0,20.081361716937245,10.040680858468622,31.99999731779115,31.99999731779115,0.0,0.0,0.0,0.0,0.0,2.0,20.081361716937245,1.0,31.99999731779115,0.0,15.504707234372805,0.0,15.504707234372805,31.999997317791145,0.0,31.999997317791145,496.15058991306677,2,2,1.0,0.992930086410055,0.9685781618224666,0.6630007855459544,0.94344069128044,0.5003927729772192,0.8654359780047133
ACCR,1.0,5.630268968285829,5.630268968285829,203.2567124395527,203.2567124395527,0.0,0.0,0.0,0.0,0.0,1.0,5.630268968285829,1.0,203.2567124395527,0.0,5.630268968285829,0.0,5.630268968285829,203.2567124395527,0.0,203.2567124395527,1144.3899606442099,1,1,1.0,0.7871170463472114,0.9795758051846033,0.8939512961508248,0.94344069128044,0.5003927729772192,0.8531814611154752
AWWI,2.0,14.213825032885266,7.106912516442633,28.26087027511046,28.26087027511046,0.0,0.0,0.0,0.0,0.0,2.0,14.213825032885266,1.0,28.26087027511046,0.0,12.915130804646925,0.0,12.915130804646925,28.260870275110456,0.0,28.260870275110456,364.9928362562097,2,2,1.0,0.9654359780047133,0.9607227022780833,0.6512175962293795,0.94344069128044,0.5003927729772192,0.8524744697564807
ALL,3.0,18.732745153712063,6.244248384570688,18.57949269070168,18.57949269070168,0.0,0.0,0.0,0.0,0.0,3.0,18.732745153712063,1.0,18.57949269070168,0.0,15.19347937721968,0.0,15.19347937721968,18.579492690701677,0.0,18.579492690701677,282.28713903537977,3,3,1.0,0.9921445404556166,0.9536527886881383,0.6048703849175177,0.94344069128044,0.5003927729772192,0.8490966221523958
ALLT,1.0,6.994146847447582,6.994146847447582,102.86666615804036,102.86666615804036,0.0,0.0,0.0,0.0,0.0,1.0,6.994146847447582,1.0,102.86666615804036,0.0,6.328565774808816,0.0,6.328565774808816,102.86666615804036,0.0,102.86666615804036,650.9984628164585,1,1,1.0,0.8208955223880597,0.9732914375490966,0.8240377062058131,0.94344069128044,0.5003927729772192,0.8474469756480755
