Security,Composite_Quality_Event_Rank,Net_Quality_Delta_Recency,Quality_Momentum_Score_Adj,Weighted_Winsor_Final_Return_Recency
ASLRF,0.8992144540455617,7.714101348585096,7765.93489585047,1006.7193241212576
APCX,0.8934014139827181,7.548185690528653,4690.658152756915,621.4285584736847
AAEEF,0.8714061272584447,5.811187572601463,3118.4041405884013,536.6208028271237
AYASF,0.8712490180675571,6.415869815835489,2197.624782869103,342.52951602056834
BFNH,0.8655930871956009,5.744857628211907,2272.8746363989767,395.6363731691661
AMSU,0.8654359780047133,15.504707234372805,496.15058991306677,31.999997317791145
ACCR,0.8531814611154752,5.630268968285829,1144.3899606442099,203.2567124395527
AWWI,0.8524744697564807,12.915130804646925,364.9928362562097,28.260870275110456
ALL,0.8490966221523958,15.19347937721968,282.28713903537977,18.579492690701677
ALLT,0.8474469756480755,6.328565774808816,650.9984628164585,102.86666615804036
ASRE,0.8457187745483111,10.717917998527309,345.0722508000101,32.195828597254106
AEYGQ,0.8455616653574235,17.828531619672667,240.29644202131828,13.478195913575194
ATHJF,0.8421838177533386,5.58481514314022,726.6367725645493,130.10936869720226
ABEPF,0.8363707776904948,4.958203743156459,779.2749145246138,157.16879638119045
AMXEF,0.8283582089552238,4.8402255507684515,635.1498886253761,131.2232006470313
AMLC,0.818381775333857,4.145892808050236,552.7857291909453,133.33333850734886
AMKAF,0.817989002356638,4.1890634688139405,538.7850537677153,128.6170662676216
BBBT,0.8175962293794187,6.519756838905775,274.0082640400157,42.02737476417956
AUB,0.8127258444619011,11.91969578618257,2.031812580989974,0.17045842590590868
AETUF,0.8119010212097407,3.843098250806695,463.2457568454803,120.53966009019975
ASM,0.8073841319717204,5.26845937939662,295.2764197718117,56.046065558852
BB,0.7992144540455618,3.6723895108069193,314.8267743232455,85.72804529497468
ARTW,0.7944226237234878,3.5505683868300224,280.6266717141335,79.03711212972281
AMMCF,0.7790259230164965,5.55813953488372,88.84438312011729,15.984554285209388
BBSRF,0.7779261586802829,5.222573852647149,110.28629037718483,21.117229452156884
ACKAY,0.772584446190102,5.048747238832261,93.36992284376834,18.49368138805145
AZNCF,0.7709740769835035,3.899943325398191,130.2405249216991,33.39549169176742
BEEM,0.7701885310290653,16.65321261499739,0.0,394.6558008838592
ASPN,0.7701099764336213,13.99109188606361,0.0,682.1237291781543
AZN,0.7690102120974077,3.899943325398191,122.43649358660485,31.394428936759965
ARYMF,0.7609190887666929,13.202942711132124,0.0,782.3529435100564
ANAS,0.7567556952081698,10.193697848942776,0.0,1101.141192589713
AXIM,0.7558523173605657,5.279395342563059,5.833050272061012,1.104870897815575
BGNX,0.7536135113904163,14.79697335681314,0.0,209.9999941792464
ASNCF,0.7517282010997643,13.046352414576827,0.0,175.86327453268945
AMNI,0.7506284367635507,14.260070038126509,0.0,129.4009841424029
AQQSQ,0.7478790259230166,11.309393245938544,0.0,400.0
AFNL,0.7473291437549097,13.90602968228076,0.0,116.00000000000003
BCHMF,0.7404163393558524,9.924910286113832,0.0,373.79455669906866
BABLD,0.7395915161036921,9.008956950338767,0.0,599.0384550908441
BABL,0.7395915161036921,9.008956950338767,0.0,599.0384550908441
AGGI,0.7390809112333072,9.777116510417741,0.0,372.10359370744646
ASPR,0.7342105263157894,10.223714427376638,0.0,200.00002182783797
BBBK,0.7339355852317361,3.8312931302549837,0.8371361537337433,0.2184996358339278
AVVH,0.7336213668499607,-0.6215709288590192,1244.7804488354916,7055.11785288757
AIMLF,0.7331893165750197,8.567728998353118,0.0,389.366326666933
ASKH,0.7310683424980362,8.500550804386314,0.0,352.72377303098506
BDCM,0.7307934014139827,-0.004643337542244552,9.298915894505791,7055.11785288757
BAJFF,0.7306755695208169,18.129548125240902,0.0,52.21164079899334
ABGSF,0.7301256873527102,11.870168853203303,0.0,110.26191062269054
