Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Acq_Winsor_Median_Return,Loss_Winsor_Median_Return,Acq_Recency_Weighted_Jump_Sum,Loss_Recency_Weighted_Loss_Sum,Net_Quality_Delta_Recency,Acq_Recency_Winsor_Mean_Return,Loss_Recency_Winsor_Mean_Return,Weighted_Winsor_Final_Return_Recency,Quality_Momentum_Score_Adj,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Recency_Percentile,Quality_Momentum_Score_Adj_Percentile,Weighted_Winsor_Final_Return_Recency_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
APCX,1.0,7.548185690528653,7.548185690528653,621.4285584736847,621.4285584736847,0.0,0.0,0.0,0.0,0.0,1.0,7.548185690528653,1.0,621.4285584736847,0.0,7.548185690528653,0.0,7.548185690528653,621.4285584736847,0.0,621.4285584736847,4690.658152756915,1,1,1.0,0.9080911233307148,0.992930086410055,0.9536527886881383,0.94344069128044,0.5003927729772192,0.9054202670856245
ACCR,1.0,5.630268968285829,5.630268968285829,203.2567124395527,203.2567124395527,0.0,0.0,0.0,0.0,0.0,1.0,5.630268968285829,1.0,203.2567124395527,0.0,5.630268968285829,0.0,5.630268968285829,203.2567124395527,0.0,203.2567124395527,1144.3899606442099,1,1,1.0,0.8405341712490181,0.9819324430479183,0.8939512961508248,0.94344069128044,0.5003927729772192,0.8699135899450118
ASLRF,1.0,10.946830890336592,10.946830890336592,1006.7193241212576,1006.7193241212576,0.0,0.0,0.0,0.0,0.0,1.0,10.946830890336592,1.0,1006.7193241212576,0.0,3.8307093616648515,0.0,3.8307093616648515,1006.7193241212577,0.0,1006.7193241212577,3856.4491394802135,1,1,1.0,0.7478397486252946,0.9921445404556166,0.9709347996857817,0.94344069128044,0.5003927729772192,0.8605655930871955
ATHJF,1.0,5.58481514314022,5.58481514314022,130.10936869720226,130.10936869720226,0.0,0.0,0.0,0.0,0.0,1.0,5.58481514314022,1.0,130.10936869720226,0.0,5.58481514314022,0.0,5.58481514314022,130.10936869720226,0.0,130.10936869720226,726.6367725645493,1,1,1.0,0.8381775333857031,0.9787902592301649,0.8507462686567164,0.94344069128044,0.5003927729772192,0.8596229379418697
AYASF,1.0,7.836361089058047,7.836361089058047,342.52951602056834,342.52951602056834,0.0,0.0,0.0,0.0,0.0,1.0,7.836361089058047,1.0,342.52951602056834,0.0,4.300686150309513,0.0,4.300686150309513,342.52951602056834,0.0,342.52951602056834,1473.1119456218787,1,1,1.0,0.7674783974862529,0.9874312647289867,0.9230164964650432,0.94344069128044,0.5003927729772192,0.8554595443833465
AWWI,2.0,14.213825032885266,7.106912516442633,28.26087027511046,28.26087027511046,0.0,0.0,0.0,0.0,0.0,2.0,14.213825032885266,1.0,28.26087027511046,0.0,11.116008855706202,0.0,11.116008855706202,28.26087027511046,0.0,28.26087027511046,314.148084248092,2,2,1.0,0.969363707776905,0.9654359780047133,0.6512175962293795,0.94344069128044,0.5003927729772192,0.8550667714061272
AMSU,2.0,20.081361716937245,10.040680858468622,31.99999731779115,31.99999731779115,0.0,0.0,0.0,0.0,0.0,2.0,20.081361716937245,1.0,31.99999731779115,0.0,10.119155695420279,0.0,10.119155695420279,31.99999731779114,0.0,31.99999731779114,323.81295511175995,2,2,1.0,0.9512961508248232,0.9677926158680282,0.6630007855459544,0.94344069128044,0.5003927729772192,0.8527101335428123
BFNH,1.0,7.376543209876544,7.376543209876544,395.6363731691661,395.6363731691661,0.0,0.0,0.0,0.0,0.0,1.0,7.376543209876544,1.0,395.6363731691661,0.0,3.4844322871945224,0.0,3.4844322871945224,395.6363731691661,0.0,395.6363731691661,1378.5681526591832,1,1,1.0,0.7305577376276512,0.98586017282011,0.9371563236449332,0.94344069128044,0.5003927729772192,0.8467399842890809
AEYGQ,3.0,20.17472558871591,6.7249085295719695,13.478195913575197,13.478195913575195,0.0,0.0,0.0,0.0,0.0,3.0,20.17472558871591,1.0,13.478195913575195,0.0,14.686608435350532,0.0,14.686608435350532,13.478195913575195,0.0,13.478195913575197,197.94898579762054,3,3,1.0,0.9960722702278083,0.9528672427336999,0.5860172820109977,0.94344069128044,0.5003927729772192,0.8462686567164178
ALLT,1.0,6.994146847447582,6.994146847447582,102.86666615804036,102.86666615804036,0.0,0.0,0.0,0.0,0.0,1.0,6.994146847447582,1.0,102.86666615804036,0.0,5.181391422712764,0.0,5.181391422712764,102.86666615804036,0.0,102.86666615804036,532.9924617143276,1,1,1.0,0.8114689709347996,0.9756480754124116,0.8240377062058131,0.94344069128044,0.5003927729772192,0.8453260015710918
