Top_N,Security,Strategy_Count
20,AEYGQ,4
20,AMLC,4
20,ASRE,4
20,AMXEF,4
20,ATHJF,4
20,ASLRF,4
20,ABEPF,4
20,AMKAF,4
20,ALL,4
20,AAEEF,4
20,BFNH,4
20,AUB,4
20,APCX,4
20,AWWI,4
20,AMSU,4
20,AYASF,4
20,ACCR,4
20,ALLT,4
20,BBBT,3
20,AETUF,3
50,AFNL,4
50,AGGI,4
50,ANAS,4
50,ASM,4
50,AEYGQ,4
50,AMLC,4
50,AQQSQ,4
50,ASRE,4
50,AMXEF,4
50,ATHJF,4
50,AMMCF,4
50,BGNX,4
50,ABGSF,4
50,AZN,4
50,ASNCF,4
50,ARTW,4
50,ASLRF,4
50,ABEPF,4
50,BCHMF,4
50,BABL,4
100,ASM,4
100,AMLC,4
100,ADTTF,4
100,AMXEF,4
100,ALDA,4
100,BGNX,4
100,AZTA,4
100,BFNH,4
100,ARYMF,4
100,APCX,4
100,AMNI,4
100,AYASF,4
100,AIAGF,4
100,AMBK,4
100,AEYGQ,4
100,ASRE,4
100,AMMCF,4
100,AGYS,4
100,ABGSF,4
100,AZN,4
