security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
MRIB,8,0.79324593638469,173.20512565282593,173.20512565282593,0.0,0.0,volume,50000000.0,192.45013961425101,50000000.0,500
CALIQ,8,0.7862693703311595,1971.2934195848504,6.484549490266545,-1964.8088700945839,-99.67105102539062,volume,50000000.0,2190.3260217609445,50000000.0,500
PRXIQ,8,0.7751568285163158,460.9832333540853,4.6097971633113275,-456.373436190774,-99.00000762939452,volume,49999998.93027073,512.2035926156505,49999998.93027073,500
HCKG,9,0.7639487696517405,265.1079968762112,371.41182960250643,106.30383272629524,40.09831237792969,volume,49999995.961333275,294.56444097356797,49999995.961333275,500
WMGR,8,0.755485789584748,1530.8231780053227,1530.8231780053227,0.0,0.0,volume,49999994.55114541,1700.9146422281365,49999994.55114541,500
AHFD,10,0.7530620657474414,3654.9108062959385,4016.3856454442794,361.47483914834083,9.890113830566406,volume,49999993.41496692,4061.0120069954864,49999993.41496692,500
SNRS,9,0.7493936411967943,135.66724950953093,135.66724950953093,0.0,0.0,volume,49999991.99135494,150.74138834392326,49999991.99135494,500
UBIA,9,0.7448305500930072,252.10053483733415,8.403357572492638,-243.6971772648415,-96.66666412353516,volume,49999990.87554217,280.1117053748157,49999990.87554217,500
AOLS,9,0.7446123096158276,201.40151969395907,201.40151969395907,0.0,0.0,volume,49999990.677494064,223.77946632662125,49999990.677494064,500
TLDN,9,0.7421909793320127,770.7108165488308,18.797836267155503,-751.9129802816753,-97.56097412109376,volume,49999990.05085678,856.345351720923,49999990.05085678,500
RTGC,8,0.7396668711323989,825.5280311530107,9528.952562905315,8703.424531752304,1054.2857666015625,volume,49999989.30028877,917.2533679477897,49999989.30028877,500
ZZZOF,8,0.7388729658052847,115.72676727763776,39.50548881981565,-76.22127845782211,-65.8631362915039,volume,49999989.27238835,128.58529697515306,49999989.27238835,500
PLYZ,9,0.7368432556474377,180365.61364867742,180365.61364867742,0.0,0.0,volume,49999990.81633713,200406.23738741936,49999990.81633713,500
PAANF,8,0.7330785851830134,173.5742693632621,13092.51559615252,12918.941326789258,7442.8896484375,volume,49999994.26047887,192.86029929251342,49999994.26047887,500
APRU,10,0.7324236399620074,860.8637270950746,1477.1405376257999,616.2768105307252,71.58819580078125,volume,49999995.9618229,956.5152523278607,49999995.9618229,500
FRTG,8,0.7296158509691559,2236.9641497386747,0.27630958239933534,-2236.6878401562753,-99.9876480102539,volume,50000000.73455183,2485.5157219318608,50000000.73455183,500
AJYG,10,0.7250878144403764,4586.153763655013,728.6411344475487,-3857.512629207464,-84.11215209960938,volume,50000010.920547396,5095.726404061126,50000010.920547396,500
VGID,10,0.7247736529028902,562.2932452314947,303.9422744293896,-258.35097080210505,-45.94594955444336,volume,50000011.32454911,624.7702724794385,50000011.32454911,500
RGDXQ,8,0.7212650744338996,176.58097813726565,176.58097813726565,0.0,0.0,volume,50000017.89027045,196.20108681918407,50000017.89027045,500
OMHE,8,0.7211595625644944,360.0658672129928,144.0263606206199,-216.03950659237293,-59.999996185302734,volume,50000019.31430234,400.0731857922143,50000019.31430234,500
UOMO,8,0.7105660237179142,148.8478316732714,148.8478316732714,0.0,0.0,volume,50000034.69998131,165.3864796369682,50000034.69998131,500
SDVI,9,0.7079842323366237,190.66401902866272,190.66401902866272,0.0,0.0,volume,50000037.22894463,211.84891003184745,50000037.22894463,500
CRDV,10,0.7074196304106036,130.0309294047974,1.181778292420745,-128.84915111237666,-99.09115600585938,volume,50000039.75790796,144.4788104497749,50000039.75790796,500
FPPP,8,0.7060428399007326,278.4273335893961,27.842733358939597,-250.5846002304565,-90.0,volume,50000041.02095797,309.3637039882178,50000041.02095797,500
CRDV,8,0.7030280384749996,130.0309294047974,1.4663102356472848,-128.56461916915012,-98.8723373413086,volume,50000050.8440852,144.4788104497749,50000050.8440852,500
ERINQ,9,0.702688395601476,3010.184380170532,3010.184380170532,0.0,0.0,volume,50000052.05980572,3344.649311300592,50000052.05980572,500
FERL,10,0.6965139148769163,1189.927689524023,59.49638447620123,-1130.4313050478218,-95.0,volume,50000066.599674754,1322.1418772489146,50000066.599674754,500
GBUX,8,0.6942904081937356,115.55311365876187,45.88199244659346,-69.67112121216842,-60.2935905456543,volume,50000071.2534365,128.39234850973543,50000071.2534365,500
RDEMF,8,0.6878816046057596,177.71594017105315,480.31334008725696,302.5973999162038,170.270263671875,volume,50000083.03261699,197.4621557456146,50000083.03261699,500
LLLI,10,0.6878119054723135,376.10788498583247,460.08444676375416,83.97656177792169,22.32778549194336,volume,50000084.129650764,417.89764998425835,50000084.129650764,500
VTGDF,9,0.6869968158887443,865.7235860420493,86.57235860420496,-779.1512274378443,-90.0,volume,50000085.23434201,961.915095602277,50000085.23434201,500
DTGI,10,0.6867186752944132,1601.436947447862,641.2164680392029,-960.220479408659,-59.95993041992188,volume,50000086.33896653,1779.37438605318,50000086.33896653,500
PRZM,9,0.6830002598072382,212.7165424729433,212.7165424729433,0.0,0.0,volume,50000096.02323129,236.35171385882592,50000096.02323129,500
BITCF,8,0.6781075495840588,723.9149405444253,379.19350214994944,-344.7214383944759,-47.61905288696289,volume,50000106.469519146,804.3499339382504,50000106.469519146,500
CPMV,10,0.6756690010578777,118.31612468566327,159.49437777144848,41.178253085785215,34.803585052490234,volume,50000112.08198144,131.4623607618481,50000112.08198144,500
MVNC,10,0.6745909177730333,707.1914136142916,3.9908468086858875,-703.2005668056057,-99.43567657470705,volume,50000113.89334854,785.7682373492131,50000113.89334854,500
CSTPF,8,0.6745645512264888,371.6773171551798,921.11326983918,549.4359526840002,147.82606506347656,volume,50000114.781100646,412.9747968390887,50000114.781100646,500
GNCAQ,11,0.6716906597794119,295880.1545666025,295880.1760947198,0.02152811730047688,7.275958523678128e-06,volume,50000120.202295355,328755.727296225,50000120.202295355,500
PSCR,8,0.6705744864626504,109.92910911273353,368.2624819799555,258.333372867222,234.99996948242188,volume,50000123.01110111,122.14345456970392,50000123.01110111,500
AMBS,11,0.6694825809955565,29620.71136442982,29620.71136442982,0.0,0.0,volume,50000123.80137053,32911.901516033126,50000123.80137053,500
EAPH,10,0.6691814440604127,583.5526279950266,2917.7627838028748,2334.2101558078484,399.99993896484375,volume,50000124.77758843,648.3918088833631,50000124.77758843,500
VGID,11,0.6683298803912061,562.2932452314947,562.2932452314947,0.0,0.0,volume,50000128.93506852,624.7702724794385,50000128.93506852,500
SEII,11,0.6675372151845768,4884542.79712172,4884542.79712172,0.0,0.0,volume,50000131.35947862,5427269.77457969,50000131.35947862,500
XFCI,9,0.6640915874602138,3958.504809005624,3598.640927647808,-359.8638813578159,-9.090904235839844,volume,50000145.91229403,4398.338676672915,50000145.91229403,500
