security,block,model_proba,avg_price,avg_volume,position_size,binding_constraint,capital_cap,volume_cap,expected_return_pct,pnl,cumulative_equity
CALIQ,8,0.7862693703311595,0.8730532035748761,50176.2323943662,876.1304087043778,volume,50000000.0,876.1304087043778,-99.67105102539062,-873.2483867087038,999999126.7516133
PRXIQ,8,0.7751568285163158,1.2559351366386997,8156.529388714734,204.88143704626017,volume,49999956.337580666,204.88143704626017,-99.00000762939452,-202.83263830701068,999998923.9189749
HCKG,9,0.7639487696517405,39.164660577863735,150.4235893416928,117.82577638942719,volume,49999946.19594875,117.82577638942719,40.09831237792969,47.24614787835344,999998971.1651227
WMGR,8,0.755485789584748,3.9302607953222064,8655.47978013349,680.3658568912546,volume,49999948.55825614,680.3658568912546,0.0,0.0,999998971.1651227
AHFD,10,0.7530620657474414,0.0029301682517059295,27718626.76917058,1624.4048027981946,volume,49999948.55825614,1624.4048027981946,9.890113830566406,160.65548406592922,999999131.8206068
UBIA,9,0.7448305500930072,6.17074384194017,907.8701451549628,112.04468214992629,volume,49999956.591030344,112.04468214992629,-96.66666412353516,-108.3098565621518,999999023.5107503
TLDN,9,0.7421909793320127,198.77739797715492,86.16123970184385,342.5381406883692,volume,49999951.17553752,342.5381406883692,-97.56097412109376,-334.18354679185563,999998689.3272035
RTGC,8,0.7396668711323989,12.088897240824588,1517.5137147335424,366.9013471791158,volume,49999934.46636018,366.9013471791158,1054.2857666015625,3868.1886807788014,1000002557.5158843
PLYZ,9,0.7368432556474377,0.11023125928765966,36361053.78501373,80162.49495496774,volume,50000127.87579422,80162.49495496774,0.0,0.0,1000002557.5158843
APRU,10,0.7324236399620074,0.004119546174992957,4643789.445226917,382.6061009311443,volume,50000127.87579422,382.6061009311443,71.58819580078125,273.9008046803223,1000002831.4166889
FRTG,8,0.7296158509691559,0.9490435907130558,52379.379540709815,994.2062887727443,volume,50000141.57083445,994.2062887727443,-99.9876480102539,-994.0834845139001,1000001837.3332044
AJYG,10,0.7250878144403764,224.22774702589678,454.51345532831,2038.2905616244504,volume,50000091.86666022,2038.2905616244504,-84.11215209960938,-1714.4500574255399,1000000122.8831469
VGID,10,0.7247736529028902,0.0006085276814932557,20533832.444444444,249.90810899177538,volume,50000006.14415735,249.90810899177538,-45.94594955444336,-114.82265368982445,1000000008.0604932
OMHE,8,0.7211595625644944,0.006603305413980159,1211736.125199362,160.0292743168857,volume,50000000.403024666,160.0292743168857,-59.999996185302734,-96.01755848549908,999999912.0429348
FPPP,8,0.7060428399007326,0.3035802738402949,20381.014884449665,123.74548159528712,volume,49999995.602146745,123.74548159528712,-90.0,-111.3709334357584,999999800.6720014
