Security,Blocks_Appeared,Unique_Clusters,Stability_Score,Classification
A,10,10,0.1,Volatile
AA,10,10,0.1,Volatile
AAALY,10,10,0.1,Volatile
AABB,10,9,0.1111111111111111,Volatile
AABVF,10,8,0.125,Volatile
AACAF,10,10,0.1,Volatile
AACAY,10,10,0.1,Volatile
AACG,10,9,0.1111111111111111,Volatile
AACS,10,9,0.1111111111111111,Volatile
AACT,10,10,0.1,Volatile
AACT-WT,10,10,0.1,Volatile
AACTF,10,10,0.1,Volatile
AADI,10,10,0.1,Volatile
AAEEF,10,9,0.1111111111111111,Volatile
AAFRF,10,10,0.1,Volatile
AAGC,10,9,0.1111111111111111,Volatile
AAGFF,10,10,0.1,Volatile
AAGH,10,10,0.1,Volatile
AAGIY,10,9,0.1111111111111111,Volatile
AAGR,10,10,0.1,Volatile
AAGRW,10,10,0.1,Volatile
AAIGF,10,9,0.1111111111111111,Volatile
AAIIQ,10,9,0.1111111111111111,Volatile
AAIRF,10,10,0.1,Volatile
AAL,10,10,0.1,Volatile
AAM,10,10,0.1,Volatile
AAMAF,10,9,0.1111111111111111,Volatile
AAMCF,10,10,0.1,Volatile
AAME,10,10,0.1,Volatile
AAMMF,10,10,0.1,Volatile
AAMTF,10,10,0.1,Volatile
AAN,10,10,0.1,Volatile
AANNF,10,10,0.1,Volatile
AAOI,10,9,0.1111111111111111,Volatile
AAON,10,8,0.125,Volatile
AAP,10,10,0.1,Volatile
AAPI,10,10,0.1,Volatile
AAPJ,10,8,0.125,Volatile
AAPL,10,10,0.1,Volatile
AAPT,10,9,0.1111111111111111,Volatile
AAQL,10,10,0.1,Volatile
AARTY,10,10,0.1,Volatile
AASP,10,9,0.1111111111111111,Volatile
AASZF,10,10,0.1,Volatile
AAT,10,10,0.1,Volatile
AATC,10,9,0.1111111111111111,Volatile
AATGF,10,10,0.1,Volatile
AATRL,10,9,0.1111111111111111,Volatile
AATV,10,10,0.1,Volatile
AAUAF,10,10,0.1,Volatile
AAUCF,10,10,0.1,Volatile
AAUGF,10,10,0.1,Volatile
AAUKF,10,9,0.1111111111111111,Volatile
AAVMY,10,10,0.1,Volatile
AAVVF,10,10,0.1,Volatile
AAVXF,10,10,0.1,Volatile
AAWH,10,10,0.1,Volatile
AAYYY,10,10,0.1,Volatile
AB,10,9,0.1111111111111111,Volatile
ABANF,10,10,0.1,Volatile
ABAT,10,10,0.1,Volatile
ABBB,10,8,0.125,Volatile
ABBNY,10,10,0.1,Volatile
ABBRF,10,10,0.1,Volatile
ABBV,10,9,0.1111111111111111,Volatile
ABBY,10,9,0.1111111111111111,Volatile
ABCB,10,9,0.1111111111111111,Volatile
ABCCF,10,10,0.1,Volatile
ABCE,10,10,0.1,Volatile
ABCFF,10,10,0.1,Volatile
ABCL,10,10,0.1,Volatile
ABCP,10,9,0.1111111111111111,Volatile
ABCZF,10,10,0.1,Volatile
ABDBY,10,10,0.1,Volatile
ABDDF,10,10,0.1,Volatile
ABEO,10,9,0.1111111111111111,Volatile
ABEPF,10,9,0.1111111111111111,Volatile
ABEV,10,10,0.1,Volatile
ABG,10,10,0.1,Volatile
ABGOF,10,9,0.1111111111111111,Volatile
ABGSF,10,9,0.1111111111111111,Volatile
ABHBY,10,10,0.1,Volatile
ABILF,10,9,0.1111111111111111,Volatile
ABIT,10,10,0.1,Volatile
ABL,10,10,0.1,Volatile
ABLLW,10,10,0.1,Volatile
ABLT,10,9,0.1111111111111111,Volatile
ABLV,10,10,0.1,Volatile
ABLVW,10,10,0.1,Volatile
ABLZF,10,10,0.1,Volatile
ABM,10,9,0.1111111111111111,Volatile
ABMBF,10,8,0.125,Volatile
ABMC,10,9,0.1111111111111111,Volatile
ABMRF,10,9,0.1111111111111111,Volatile
ABMT,10,10,0.1,Volatile
ABNAF,10,9,0.1111111111111111,Volatile
ABNB,10,10,0.1,Volatile
ABOIF,10,10,0.1,Volatile
ABOS,10,10,0.1,Volatile
ABPR,10,10,0.1,Volatile
ABQQ,10,9,0.1111111111111111,Volatile
ABR,10,10,0.1,Volatile
ABRMF,10,10,0.1,Volatile
ABSCF,10,9,0.1111111111111111,Volatile
ABSI,10,10,0.1,Volatile
ABSOF,10,9,0.1111111111111111,Volatile
ABSSF,10,8,0.125,Volatile
ABT,10,10,0.1,Volatile
ABTI,10,9,0.1111111111111111,Volatile
ABTS,10,9,0.1111111111111111,Volatile
ABTZY,10,9,0.1111111111111111,Volatile
ABUS,10,9,0.1111111111111111,Volatile
ABVC,10,10,0.1,Volatile
ABVE,10,10,0.1,Volatile
ABVEW,10,10,0.1,Volatile
ABVN,10,10,0.1,Volatile
ABVX,10,10,0.1,Volatile
ABWN,10,9,0.1111111111111111,Volatile
ABXXF,10,10,0.1,Volatile
ABZPY,10,10,0.1,Volatile
AC,10,9,0.1111111111111111,Volatile
ACA,10,10,0.1,Volatile
ACAB,10,10,0.1,Volatile
ACAC,10,10,0.1,Volatile
ACAD,10,10,0.1,Volatile
ACAI,10,8,0.125,Volatile
ACAN,10,10,0.1,Volatile
ACAZF,10,10,0.1,Volatile
ACB,10,9,0.1111111111111111,Volatile
ACBD,10,10,0.1,Volatile
ACBM,10,10,0.1,Volatile
ACCD,10,10,0.1,Volatile
ACCFF,10,10,0.1,Volatile
ACCMF,10,10,0.1,Volatile
ACCO,10,10,0.1,Volatile
ACCR,10,10,0.1,Volatile
ACCYY,10,10,0.1,Volatile
ACDC,10,10,0.1,Volatile
ACDSF,10,8,0.125,Volatile
ACDVF,10,8,0.125,Volatile
ACDXF,10,10,0.1,Volatile
ACEHF,10,10,0.1,Volatile
ACEJF,10,10,0.1,Volatile
ACEL,10,10,0.1,Volatile
ACET,10,10,0.1,Volatile
ACEYY,10,9,0.1111111111111111,Volatile
ACFN,10,9,0.1111111111111111,Volatile
ACGAF,10,10,0.1,Volatile
ACGBF,10,10,0.1,Volatile
ACGBY,10,10,0.1,Volatile
ACGI,10,9,0.1111111111111111,Volatile
