Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
TIIAY,1,495.99692,68.08504,427.91187,4.0382771492004395,DROP,
TNK,1,495.99692,28.467157,467.52975,-44.746429443359375,DROP,
TWAC,1,495.99692,12.831814,483.1651,14.312823295593262,DROP,
UMEWF,1,495.99692,28.467157,467.52975,-16.107385635375977,DROP,
WNS,1,495.99692,264.92352,231.0734,8.449331283569336,DROP,
WOWU,1,495.99692,4.951334,491.0456,168.75001525878906,DROP,
KINS,1,-17.486752,1215.8566,,62.81138610839844,ACQ,1233.3433
FTPM,1,-12.291393,150.37366,,-90.71446990966797,ACQ,162.66505
EXRG,1,6647.4023,36.47445,6610.9277,0.0,DROP,
FFWM,1,6647.4023,118.62724,6528.775,42.65702819824219,DROP,
CAFI,1,-53.617138,354.39816,,-98.67500305175781,ACQ,408.0153
GREN,1,-17.486752,150.37366,,15.217384338378906,ACQ,167.86041
SYF,1,495.99692,4.951334,491.0456,-13.976839065551758,DROP,
THLEF,1,495.99692,264.92352,231.0734,23.552959442138672,DROP,
TIAIY,1,495.99692,68.08504,427.91187,2.48819899559021,DROP,
TIAOF,1,495.99692,34.165043,461.83188,4.086026668548584,DROP,
GNCNF,1,6647.4023,118.62724,6528.775,-5.787346363067627,DROP,
GOOG,1,6647.4023,118.62724,6528.775,29.8038387298584,DROP,
GOOGL,1,6647.4023,118.62724,6528.775,30.332067489624023,DROP,
FMBL,1,6647.4023,36.47445,6610.9277,25.7330265045166,DROP,
FMFG,1,6647.4023,118.62724,6528.775,5.528296947479248,DROP,
ALFFF,1,-53.617138,163.63342,,-22.76886749267578,ACQ,217.25056
ANMP,1,-53.617138,88.7264,,-29.166667938232422,ACQ,142.34354
FSV,1,6647.4023,354.39816,6293.0044,32.31624221801758,DROP,
AVD,1,408.4036,28.467157,379.93643,22.858341217041016,DROP,
SUME,1,49.00367,98.83748,,-2.6086935997009277,ACQ,49.83381
TFGL,1,49.00367,98.83748,,424.66668701171875,ACQ,49.83381
TSBA,1,495.99692,92.59927,403.39764,31.259336471557617,DROP,
SMIZF,1,495.99692,92.59927,403.39764,19.36236000061035,DROP,
FAF,1,42.34828,118.62724,,12.640671730041504,ACQ,76.27896
FBIN,1,42.34828,354.39816,,8.241718292236328,ACQ,312.04987
FSRL,1,42.34828,118.62724,,57.971336364746094,ACQ,76.27896
NKE,1,50.104095,264.92352,,-3.8399412631988525,ACQ,214.81943
NNGPF,1,50.104095,118.62724,,6.671482086181641,ACQ,68.52315
NVR,1,50.104095,354.39816,,31.823354721069336,ACQ,304.29407
MNPP,1,50.104095,276.59222,,-17.239301681518555,ACQ,226.48813
EXSO,1,223.05849,-17.982445,241.04092,56.07475662231445,DROP,
NTBP,1,197.05244,615.085,,3.6842103004455566,ACQ,418.0326
AIDA,1,97.99073,18.23898,79.751755,-59.869842529296875,DROP,
MIPCF,1,197.05244,-34.442963,231.4954,53.116886138916016,DROP,
MD,1,50.104095,118.62724,,-19.826173782348633,ACQ,68.52315
META,1,50.104095,118.62724,,26.302316665649414,ACQ,68.52315
GTHR,1,40.852318,88.7264,,-86.19943237304688,ACQ,47.874084
FXLG,1,88.13913,68.08504,20.054092,24.416790008544922,DROP,
GHC,1,88.13913,4.329754,83.80937,18.63095474243164,DROP,
GLAE,1,88.13913,-20.93426,109.07339,-74.28982543945312,DROP,
EVR,1,223.05849,4.951334,218.10715,37.16270446777344,DROP,
EXLA,1,223.05849,34.165043,188.89345,145.4545440673828,DROP,
IT,1,97.99073,28.467157,69.523575,12.162190437316895,DROP,
GL,1,97.99073,34.165043,63.825687,23.2413387298584,DROP,
FRTG,1,-0.00045718785,182.87059,,8.421599388122559,ACQ,182.87105
FRGY,1,-0.00045718785,182.87059,,-56.39097213745117,ACQ,182.87105
JHIUF,1,97.99073,92.59927,5.3914566,8.771929740905762,DROP,
KDDIY,1,97.99073,29.25077,68.73996,-5.413440227508545,DROP,
RCAR,1,50.104095,92.59927,,58.8623046875,ACQ,42.49518
