Security,Block_ID,Cluster_ID,Cluster_Size,Num_Top_Performers_During,Pct_Top_Performers_During,Num_Top_Performers_After,Pct_Top_Performers_After,Stock_Return_During,Stock_Return_After
A,0,34,362,61,16.85082872928177,11,3.0386740331491713,86.54616151957421,108.15683866567647
A,1,44,368,12,3.260869565217391,29,7.880434782608696,86.54616151957421,108.15683866567647
A,2,1,89,7,7.865168539325842,3,3.3707865168539324,86.54616151957421,108.15683866567647
A,3,11,152,12,7.894736842105263,4,2.631578947368421,86.54616151957421,108.15683866567647
A,4,53,466,47,10.085836909871244,16,3.4334763948497855,86.54616151957421,108.15683866567647
A,5,17,478,61,12.761506276150628,4,0.8368200836820083,86.54616151957421,108.15683866567647
A,6,51,126,5,3.968253968253968,8,6.349206349206349,86.54616151957421,108.15683866567647
A,7,38,104,8,7.6923076923076925,1,0.9615384615384616,86.54616151957421,108.15683866567647
A,8,28,259,24,9.266409266409266,7,2.7027027027027026,86.54616151957421,108.15683866567647
A,9,71,176,4,2.272727272727273,2,1.1363636363636365,86.54616151957421,108.15683866567647
AA,0,5,237,8,3.375527426160337,17,7.172995780590717,-51.74692046605804,135.26108523266905
AA,1,40,202,6,2.9702970297029703,5,2.4752475247524752,-51.74692046605804,135.26108523266905
AA,2,26,152,17,11.18421052631579,4,2.631578947368421,-51.74692046605804,135.26108523266905
AA,3,62,184,9,4.891304347826087,17,9.239130434782608,-51.74692046605804,135.26108523266905
AA,4,49,326,16,4.9079754601226995,1,0.3067484662576687,-51.74692046605804,135.26108523266905
AA,5,15,304,24,7.894736842105263,8,2.631578947368421,-51.74692046605804,135.26108523266905
AA,6,53,72,5,6.944444444444445,1,1.3888888888888888,-51.74692046605804,135.26108523266905
AA,7,10,492,17,3.4552845528455287,34,6.910569105691057,-51.74692046605804,135.26108523266905
AA,8,50,403,22,5.459057071960298,24,5.955334987593052,-51.74692046605804,135.26108523266905
AA,9,9,131,1,0.7633587786259541,6,4.580152671755725,-51.74692046605804,135.26108523266905
AAALY,0,21,291,43,14.776632302405499,9,3.0927835051546393,60.19750925993566,-25.542750833206124
AAALY,1,56,126,22,17.46031746031746,16,12.698412698412698,60.19750925993566,-25.542750833206124
AAALY,2,40,89,8,8.98876404494382,10,11.235955056179774,60.19750925993566,-25.542750833206124
AAALY,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,60.19750925993566,-25.542750833206124
AAALY,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,60.19750925993566,-25.542750833206124
AAALY,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,60.19750925993566,-25.542750833206124
AAALY,6,45,7073,32,0.4524247136999859,77,1.088646967340591,60.19750925993566,-25.542750833206124
AAALY,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,60.19750925993566,-25.542750833206124
AAALY,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,60.19750925993566,-25.542750833206124
AAALY,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,60.19750925993566,-25.542750833206124
AABB,0,13,258,14,5.426356589147287,36,13.953488372093023,-43.37678173211123,1619.689372641135
AABB,1,24,145,14,9.655172413793103,16,11.03448275862069,-43.37678173211123,1619.689372641135
AABB,2,30,142,17,11.971830985915492,17,11.971830985915492,-43.37678173211123,1619.689372641135
AABB,3,24,174,5,2.8735632183908044,7,4.022988505747127,-43.37678173211123,1619.689372641135
AABB,4,34,132,12,9.090909090909092,13,9.848484848484848,-43.37678173211123,1619.689372641135
AABB,5,38,61,11,18.0327868852459,20,32.78688524590164,-43.37678173211123,1619.689372641135
AABB,6,14,255,27,10.588235294117647,21,8.235294117647058,-43.37678173211123,1619.689372641135
AABB,7,41,259,24,9.266409266409266,8,3.088803088803089,-43.37678173211123,1619.689372641135
AABB,8,49,183,4,2.185792349726776,7,3.825136612021858,-43.37678173211123,1619.689372641135
AABB,9,7,226,5,2.2123893805309733,13,5.752212389380531,-43.37678173211123,1619.689372641135
AABVF,0,15,325,9,2.769230769230769,24,7.384615384615385,-81.5950923820803,306.6666679084305
AABVF,1,43,134,6,4.477611940298507,2,1.4925373134328357,-81.5950923820803,306.6666679084305
AABVF,2,0,316,22,6.962025316455696,4,1.2658227848101267,-81.5950923820803,306.6666679084305
AABVF,3,43,175,13,7.428571428571429,17,9.714285714285714,-81.5950923820803,306.6666679084305
AABVF,4,15,189,9,4.761904761904762,9,4.761904761904762,-81.5950923820803,306.6666679084305
AABVF,5,17,478,61,12.761506276150628,4,0.8368200836820083,-81.5950923820803,306.6666679084305
AABVF,6,6,179,10,5.58659217877095,12,6.70391061452514,-81.5950923820803,306.6666679084305
AABVF,7,5,198,15,7.575757575757576,3,1.5151515151515151,-81.5950923820803,306.6666679084305
AABVF,8,60,266,12,4.511278195488721,22,8.270676691729323,-81.5950923820803,306.6666679084305
AABVF,9,53,188,23,12.23404255319149,16,8.51063829787234,-81.5950923820803,306.6666679084305
AACAF,0,36,132,8,6.0606060606060606,9,6.8181818181818175,-5.717220383817188,-13.591085111101492
AACAF,1,19,128,24,18.75,18,14.0625,-5.717220383817188,-13.591085111101492
AACAF,2,26,152,17,11.18421052631579,4,2.631578947368421,-5.717220383817188,-13.591085111101492
AACAF,3,20,415,66,15.903614457831324,8,1.9277108433734942,-5.717220383817188,-13.591085111101492
AACAF,4,64,324,19,5.864197530864197,7,2.1604938271604937,-5.717220383817188,-13.591085111101492
AACAF,5,15,304,24,7.894736842105263,8,2.631578947368421,-5.717220383817188,-13.591085111101492
AACAF,6,32,96,6,6.25,9,9.375,-5.717220383817188,-13.591085111101492
AACAF,7,2,352,16,4.545454545454546,27,7.670454545454546,-5.717220383817188,-13.591085111101492
AACAF,8,50,403,22,5.459057071960298,24,5.955334987593052,-5.717220383817188,-13.591085111101492
AACAF,9,9,131,1,0.7633587786259541,6,4.580152671755725,-5.717220383817188,-13.591085111101492
AACAY,0,36,132,8,6.0606060606060606,9,6.8181818181818175,-6.686208215876771,-23.567729741152608
AACAY,1,19,128,24,18.75,18,14.0625,-6.686208215876771,-23.567729741152608
