Security,Pattern,Early_Quality,Late_Quality,Change,Final_Return
A,Mixed/Unstable,9.325622277941667,6.4104814104814105,-2.9151408674602566,108.15683866567647
AA,Mixed/Unstable,5.843344994059699,3.2259001344772607,-2.617444859582438,135.26108523266905
AAALY,Breakout (left high performers),13.741904602555593,0.4177926418194386,-13.324111960736154,-25.542750833206124
AABB,Mixed/Unstable,9.017786662951961,4.554863665555672,-4.462922997396289,1619.689372641135
AABVF,Mixed/Unstable,4.736289341994991,8.107026108145929,3.370736766150938,306.6666679084305
AACAF,Breakout (left high performers),11.998272195640617,3.5892901320135997,-8.408982063627017,-13.591085111101492
AACAY,Breakout (left high performers),11.998272195640617,3.321684833585605,-8.676587362055011,-23.567729741152608
AACG,Mixed/Unstable,11.319544652877987,6.50268730098724,-4.8168573518907465,28.934287653606525
AACS,Mixed/Unstable,11.655880456837592,7.112743510873671,-4.54313694596392,47.27272552410477
AACT,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AACT-WT,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AACTF,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AADI,Mixed/Unstable,0.5563730801296484,5.44554925991477,4.889176179785122,
AAEEF,Mixed/Unstable,6.602220895148041,2.754697620538694,-3.847523274609347,536.6208028271237
AAFRF,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AAGC,Mixed/Unstable,14.197001631360221,7.1636536123247945,-7.033348019035427,1376.1904851003037
AAGFF,Mixed/Unstable,13.725380171029506,9.342651305149742,-4.3827288658797645,86.48332152444657
AAGH,Mixed/Unstable,5.985582298067205,5.474128121977583,-0.5114541760896216,772.7056374058545
AAGIY,Mixed/Unstable,5.590310875292782,5.4319716161821425,-0.1583392591106394,17.903351618244333
AAGR,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AAGRW,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AAIGF,Mixed/Unstable,5.590310875292782,5.4319716161821425,-0.1583392591106394,18.66638790591053
AAIIQ,Mixed/Unstable,7.786906290115533,5.332612961720943,-2.4542933283945896,-67.84565927953473
AAIRF,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AAL,Breakout (left high performers),10.754477004477005,2.286264441591784,-8.46821256288522,-28.15840028491575
AAM,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AAMAF,Stayed with low performers,3.4938568376068377,3.1291757922186143,-0.36468104538822343,-70.30901314426188
AAMCF,Stayed with low performers,0.5563730801296484,0.4177926418194386,-0.13858043831020977,
AAME,Breakout (left high performers),13.714150432900432,4.653590701535907,-9.060559731364524,80.30954255193019
