Security,Block_ID,Cluster_ID,Total_Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Percent_Return
JPEX,0,34,10,9,8,0.11111111111111116,6593.616708526118
JPEX,1,56,10,9,8,0.11111111111111116,6593.616708526118
JPEX,2,22,10,9,8,0.11111111111111116,6593.616708526118
JPEX,3,55,10,9,8,0.11111111111111116,6593.616708526118
JPEX,4,24,10,9,8,0.11111111111111116,6593.616708526118
JPEX,5,24,10,9,8,0.11111111111111116,6593.616708526118
JPEX,6,29,10,9,8,0.11111111111111116,6593.616708526118
JPEX,7,11,10,9,8,0.11111111111111116,6593.616708526118
JPEX,8,32,10,9,8,0.11111111111111116,6593.616708526118
JPEX,9,6,10,9,8,0.11111111111111116,6593.616708526118
KAST,0,34,10,10,9,0.0,5962.074906276221
KAST,1,0,10,10,9,0.0,5962.074906276221
KAST,2,47,10,10,9,0.0,5962.074906276221
KAST,3,22,10,10,9,0.0,5962.074906276221
KAST,4,42,10,10,9,0.0,5962.074906276221
KAST,5,64,10,10,9,0.0,5962.074906276221
KAST,6,40,10,10,9,0.0,5962.074906276221
KAST,7,6,10,10,9,0.0,5962.074906276221
KAST,8,4,10,10,9,0.0,5962.074906276221
KAST,9,20,10,10,9,0.0,5962.074906276221
AMEUF,0,5,10,8,9,0.0,9968.142918178151
AMEUF,1,34,10,8,9,0.0,9968.142918178151
AMEUF,2,50,10,8,9,0.0,9968.142918178151
AMEUF,3,60,10,8,9,0.0,9968.142918178151
AMEUF,4,30,10,8,9,0.0,9968.142918178151
AMEUF,5,50,10,8,9,0.0,9968.142918178151
AMEUF,6,11,10,8,9,0.0,9968.142918178151
AMEUF,7,7,10,8,9,0.0,9968.142918178151
AMEUF,8,58,10,8,9,0.0,9968.142918178151
AMEUF,9,50,10,8,9,0.0,9968.142918178151
XEPRF,0,5,10,10,9,0.0,9900.000029103749
XEPRF,1,32,10,10,9,0.0,9900.000029103749
XEPRF,2,48,10,10,9,0.0,9900.000029103749
XEPRF,3,50,10,10,9,0.0,9900.000029103749
XEPRF,4,42,10,10,9,0.0,9900.000029103749
XEPRF,5,38,10,10,9,0.0,9900.000029103749
XEPRF,6,40,10,10,9,0.0,9900.000029103749
XEPRF,7,68,10,10,9,0.0,9900.000029103749
XEPRF,8,18,10,10,9,0.0,9900.000029103749
XEPRF,9,35,10,10,9,0.0,9900.000029103749
SFRFF,0,21,10,10,9,0.0,18800.000036379763
SFRFF,1,54,10,10,9,0.0,18800.000036379763
SFRFF,2,14,10,10,9,0.0,18800.000036379763
SFRFF,3,47,10,10,9,0.0,18800.000036379763
SFRFF,4,12,10,10,9,0.0,18800.000036379763
SFRFF,5,28,10,10,9,0.0,18800.000036379763
SFRFF,6,45,10,10,9,0.0,18800.000036379763
SFRFF,7,68,10,10,9,0.0,18800.000036379763
SFRFF,8,38,10,10,9,0.0,18800.000036379763
SFRFF,9,35,10,10,9,0.0,18800.000036379763
AGSS,0,13,10,9,9,0.0,33636.53894090793
AGSS,1,57,10,9,9,0.0,33636.53894090793
AGSS,2,10,10,9,9,0.0,33636.53894090793
AGSS,3,43,10,9,9,0.0,33636.53894090793
AGSS,4,53,10,9,9,0.0,33636.53894090793
AGSS,5,11,10,9,9,0.0,33636.53894090793
AGSS,6,23,10,9,9,0.0,33636.53894090793
AGSS,7,47,10,9,9,0.0,33636.53894090793
AGSS,8,64,10,9,9,0.0,33636.53894090793
AGSS,9,53,10,9,9,0.0,33636.53894090793
FLMTF,0,13,10,10,9,0.0,122350.00165091478
FLMTF,1,2,10,10,9,0.0,122350.00165091478
FLMTF,2,24,10,10,9,0.0,122350.00165091478
FLMTF,3,9,10,10,9,0.0,122350.00165091478
FLMTF,4,1,10,10,9,0.0,122350.00165091478
FLMTF,5,65,10,10,9,0.0,122350.00165091478
FLMTF,6,23,10,10,9,0.0,122350.00165091478
FLMTF,7,0,10,10,9,0.0,122350.00165091478
