Cluster_ID,0,1,2,3,4,5,6,7,8,9,Change_0_to_1,Change_1_to_2,Change_2_to_3,Change_3_to_4,Change_4_to_5,Change_5_to_6,Change_6_to_7,Change_7_to_8,Change_8_to_9,Total_Top_Performers,Avg_Per_Block,Std_Dev,Max_Change
45,2,4,5,5,2,0,45,1,3,1,2,1,0,-3,-2,45,-44,2,-2,68,6.8,13.530213104998262,54
68,0,0,0,0,0,2,2,56,5,3,0,0,0,0,2,0,54,-51,-2,68,6.8,17.37047303136369,54
3,3,50,0,6,2,0,2,0,2,2,47,-50,6,-4,-2,2,-2,2,0,67,6.7,15.319196381591881,54
35,3,5,3,2,0,3,1,1,4,44,2,-2,-1,-2,3,-2,0,3,40,66,6.6,13.226236552146393,54
13,4,0,3,3,44,3,4,2,1,1,-4,3,0,41,-41,1,-2,-1,0,65,6.5,13.243447016879287,54
42,0,6,1,1,5,46,4,0,1,1,6,-5,0,4,41,-42,-4,1,0,65,6.5,14.041604846550364,54
46,2,3,42,6,2,2,3,0,2,0,1,39,-36,-4,0,1,-3,2,-2,62,6.2,12.691204303243515,54
38,5,4,1,0,3,6,2,0,40,0,-1,-3,-1,3,3,-4,-2,40,-40,61,6.1,12.10555428076073,54
50,1,1,4,44,0,1,2,1,5,1,0,3,40,-44,1,1,-1,4,-4,60,6.0,13.4412301024373,54
61,38,5,0,0,1,0,2,3,2,2,-33,-5,0,1,-1,2,1,-1,0,53,5.3,11.59549721036384,54
0,2,6,1,1,1,2,1,6,0,13,4,-5,0,0,1,-1,5,-6,13,33,3.3,4.001388647846033,54
12,1,2,6,3,9,3,0,3,1,2,1,4,-3,6,-6,-3,3,-2,1,30,3.0,2.6666666666666665,54
33,7,5,1,4,1,4,3,0,2,2,-2,-4,3,-3,3,-1,-3,2,0,29,2.9,2.1317702607092643,54
47,1,1,1,12,0,6,4,2,0,2,0,0,11,-12,6,-2,-2,-2,2,29,2.9,3.6953424138441564,54
57,0,8,6,1,1,4,2,0,4,2,8,-2,-5,0,3,-2,-2,4,-2,28,2.8,2.6583202716502514,54
26,2,1,1,3,4,1,5,6,2,2,-1,0,2,1,-3,4,1,-4,0,27,2.7,1.766981104093143,54
25,1,5,0,1,13,0,4,1,1,1,4,-5,1,12,-13,4,-3,0,0,27,2.7,3.9735234853828274,54
32,1,1,3,4,1,3,4,4,2,4,0,2,1,-3,2,1,0,-2,2,27,2.7,1.3374935098492586,54
55,3,1,3,1,2,2,6,1,2,6,-2,2,-2,1,0,4,-5,1,4,27,2.7,1.888562063228706,54
44,2,1,8,5,1,3,0,0,5,2,-1,7,-3,-4,2,-3,0,5,-3,27,2.7,2.5841396591085743,54
14,0,0,12,2,6,0,4,0,2,0,0,12,-10,4,-6,4,-4,2,-2,26,2.6,3.8930136855083823,54
24,1,3,2,0,7,6,3,1,0,2,2,-1,-2,7,-1,-3,-2,-1,2,25,2.5,2.3687784005919825,54
4,11,2,0,2,1,0,5,0,2,2,-9,-2,2,-1,-1,5,-5,2,0,25,2.5,3.3416562759605704,54
17,2,3,2,0,2,0,3,1,7,4,1,-1,-2,2,-2,3,-2,6,-3,24,2.4,2.065591117977289,54
40,0,0,1,9,4,4,6,0,0,0,0,1,8,-5,0,2,-6,0,0,24,2.4,3.2041639575194445,54
52,2,1,1,5,8,2,0,4,0,1,-1,0,4,3,-6,-2,4,-4,1,24,2.4,2.5473297566057065,54
19,1,4,1,0,2,1,2,3,2,8,3,-3,-1,2,-1,1,1,-1,6,24,2.4,2.2705848487901865,54
53,6,3,4,0,2,1,0,3,1,3,-3,1,-4,2,-1,-1,3,-2,2,23,2.3,1.888562063228706,54
37,4,0,3,5,0,4,0,3,3,1,-4,3,2,-5,4,-4,3,0,-2,23,2.3,1.888562063228706,54
62,7,1,0,4,2,0,5,1,0,2,-6,-1,4,-2,-2,5,-4,-1,2,22,2.2,2.3944379994757297,54
29,3,1,3,0,1,3,4,1,6,0,-2,2,-3,1,2,1,-3,5,-6,22,2.2,1.9321835661585918,54
15,2,0,4,3,1,1,3,5,0,3,-2,4,-1,-2,0,2,2,-5,3,22,2.2,1.6865480854231356,54
59,4,0,0,1,2,5,7,2,1,0,-4,0,1,1,3,2,-5,-1,-1,22,2.2,2.3944379994757297,54
1,2,6,0,2,6,3,0,0,1,1,4,-6,2,4,-3,-3,0,1,0,21,2.1,2.282785822435191,54
21,1,2,7,0,3,0,2,1,4,1,1,5,-7,3,-3,2,-1,3,-3,21,2.1,2.1317702607092643,54
6,5,1,1,2,3,0,1,2,2,4,-4,0,1,1,-3,1,1,0,2,21,2.1,1.5238839267549948,54
54,3,4,2,0,1,1,3,4,2,0,1,-2,-2,1,0,2,1,-2,-2,20,2.0,1.4907119849998598,54
11,1,2,3,0,4,3,1,5,0,1,1,1,-3,4,-1,-2,4,-5,1,20,2.0,1.699673171197595,54
48,5,0,3,2,1,2,0,2,4,1,-5,3,-1,-1,1,-2,2,2,-3,20,2.0,1.632993161855452,54
49,3,2,11,1,0,0,0,2,0,1,-1,9,-10,-1,0,0,2,-2,1,20,2.0,3.3333333333333335,54
2,5,3,0,1,1,1,2,2,0,4,-2,-3,1,0,0,1,0,-2,4,19,1.9,1.66332999331662,54
8,2,2,0,3,2,0,2,1,2,5,0,-2,3,-1,-2,2,-1,1,3,19,1.9,1.449137674618944,54
20,4,2,3,0,0,2,2,2,2,2,-2,1,-3,0,2,0,0,0,0,19,1.9,1.1972189997378648,54
30,3,5,1,0,6,2,0,0,2,0,2,-4,-1,6,-4,-2,0,2,-2,19,1.9,2.183269719175042,54
51,1,2,1,2,1,5,0,0,2,5,1,-1,1,-1,4,-5,0,2,3,19,1.9,1.7919573407620817,54
60,7,1,0,1,0,1,4,0,5,0,-6,-1,1,-1,1,3,-4,5,-5,19,1.9,2.514402955419481,54
34,2,2,0,4,1,3,0,1,5,0,0,-2,4,-3,2,-3,1,4,-5,18,1.8,1.7511900715418267,54
18,2,3,0,5,0,0,0,0,7,1,1,-3,5,-5,0,0,0,7,-6,18,1.8,2.4855135843076335,54
10,2,3,2,0,0,3,0,4,0,4,1,-1,-2,0,3,-3,4,-4,4,18,1.8,1.6865480854231358,54
43,0,0,5,2,1,2,2,1,5,0,0,5,-3,-1,1,0,-1,4,-5,18,1.8,1.8737959096740262,54
58,1,4,0,2,1,0,1,1,4,3,3,-4,2,-1,-1,1,0,3,-1,17,1.7,1.4944341180973262,54
7,0,2,0,1,4,0,0,5,0,5,2,-2,1,3,-4,0,5,-5,5,17,1.7,2.1628170930011112,54
5,2,4,0,5,2,3,0,1,0,0,2,-4,5,-3,1,-3,1,-1,0,17,1.7,1.8287822299126937,54
28,2,0,2,0,0,4,5,1,2,1,-2,2,-2,0,4,1,-4,1,-1,17,1.7,1.70293863659264,54
36,1,0,2,5,0,1,1,1,4,2,-1,2,3,-5,1,0,0,3,-2,17,1.7,1.636391694484477,54
27,0,0,2,0,4,4,1,0,1,4,0,2,-2,4,0,-3,-1,1,3,16,1.6,1.776388345929897,54
65,0,0,0,0,1,5,1,4,1,3,0,0,0,1,4,-4,3,-3,2,15,1.5,1.8408935028645435,54
9,0,0,4,4,0,2,0,3,1,0,0,4,0,-4,2,-2,3,-2,-1,14,1.4,1.7126976771553506,54
39,1,2,0,0,0,1,5,3,2,0,1,-2,0,0,1,4,-2,-1,-2,14,1.4,1.6465452046971292,54
41,0,1,4,0,0,1,1,4,3,0,1,3,-4,0,1,0,3,-1,-3,14,1.4,1.6465452046971294,54
56,3,1,2,0,0,2,0,0,3,3,-2,1,-2,0,2,-2,0,3,0,14,1.4,1.349897115421106,54
66,0,0,0,0,0,0,4,6,2,1,0,0,0,0,0,4,2,-4,-1,13,1.3,2.110818693198342,54
31,2,0,0,1,2,2,2,0,2,1,-2,0,1,1,0,0,-2,2,-1,12,1.2,0.9189365834726815,54
64,0,0,0,0,1,7,0,0,3,0,0,0,0,1,6,-7,0,3,-3,11,1.1,2.282785822435191,54
23,1,1,1,0,3,1,2,1,0,1,0,0,-1,3,-2,1,-1,-1,1,11,1.1,0.8755950357709131,54
22,0,0,4,3,1,0,0,1,1,1,0,4,-1,-2,-1,0,1,0,0,11,1.1,1.3703203194062978,54
16,0,0,0,3,1,2,1,1,0,1,0,0,3,-2,1,-1,0,-1,1,9,0.9,0.9944289260117534,54
63,0,0,0,0,2,0,0,3,1,2,0,0,0,2,-2,0,3,-2,1,8,0.8,1.1352924243950933,54
69,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,1,3,-4,3,8,0.8,1.475729574745244,54
67,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,-1,5,-4,-1,7,0.7,1.567021236472421,54
70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1,0.31622776601683794,54
72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1,0.31622776601683794,54
73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1,0.31622776601683794,54
74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1,0.31622776601683794,54
