Security,Percent_Return,Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Cluster_Sequence
NXMH,3189900.0424392065,10,10,9,0.0,"[6, 3, 46, 50, 13, 42, 45, 68, 38, 66]"
SVNJ,1979900.0690924954,10,10,9,0.0,"[61, 3, 36, 45, 14, 65, 24, 68, 38, 35]"
FSTF,1968000.0461659522,10,10,9,0.0,"[58, 3, 14, 6, 30, 42, 60, 39, 57, 35]"
NHLG,1415700.0409636418,10,9,9,0.0,"[61, 17, 44, 47, 14, 42, 40, 68, 17, 0]"
MTEI,1371900.0360305426,10,10,9,0.0,"[12, 3, 50, 15, 24, 42, 45, 68, 46, 35]"
NTME,999900.0401632867,10,9,9,0.0,"[3, 19, 35, 3, 30, 12, 33, 52, 43, 0]"
USBC,999900.0252621255,10,10,9,0.0,"[35, 52, 46, 45, 42, 57, 40, 28, 38, 68]"
LBWR,858650.0222898965,10,9,9,0.0,"[60, 33, 46, 45, 46, 28, 59, 68, 67, 2]"
CRFU,609900.0222644308,10,10,9,0.0,"[26, 42, 22, 46, 14, 38, 21, 68, 44, 35]"
WYPH,597400.0226937119,10,8,8,0.11111111111111116,"[60, 42, 48, 18, 15, 42, 59, 59, 34, 0]"
RWGI,562600.0064246703,10,10,9,0.0,"[49, 10, 46, 37, 1, 33, 45, 68, 41, 35]"
SRCX,449930.01137013925,10,9,9,0.0,"[29, 1, 45, 40, 13, 42, 45, 68, 28, 63]"
AHFI,402810.013244426,10,10,9,0.0,"[49, 35, 54, 36, 13, 34, 33, 32, 57, 55]"
TICJ,199900.00803265735,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
HMBL,194110.0052423519,10,10,9,0.0,"[60, 35, 44, 47, 12, 38, 43, 67, 37, 32]"
GWSO,193133.33095432364,10,10,9,0.0,"[55, 45, 15, 12, 25, 16, 47, 26, 60, 57]"
WWDH,166500.0009313221,10,9,9,0.0,"[61, 3, 21, 3, 11, 37, 42, 12, 38, 0]"
ADCV,159900.01164153227,10,10,9,0.0,"[18, 3, 46, 50, 13, 42, 45, 68, 38, 0]"
FLMTF,122350.00165091478,10,10,9,0.0,"[13, 2, 24, 9, 1, 65, 23, 0, 35, 68]"
LRCFF,121900.00445288615,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 67, 17, 10]"
MMIRF,121299.00037362042,10,9,9,0.0,"[2, 60, 11, 42, 30, 56, 0, 10, 17, 0]"
APWL,116400.00285363062,10,10,9,0.0,"[61, 3, 46, 50, 1, 42, 62, 25, 38, 35]"
WCHD,114900.00499130697,10,10,9,0.0,"[56, 3, 15, 58, 14, 42, 8, 68, 38, 35]"
FBDS,113913.81390390683,10,10,9,0.0,"[44, 57, 14, 40, 38, 51, 61, 16, 29, 35]"
CUBT,111160.0019368599,10,10,9,0.0,"[18, 3, 53, 47, 12, 9, 26, 19, 44, 55]"
MNIZ,108299.9954830913,10,8,8,0.11111111111111116,"[61, 46, 53, 8, 64, 65, 15, 15, 14, 8]"
PECN,99900.000291038,10,9,9,0.0,"[61, 17, 14, 0, 17, 27, 21, 68, 43, 35]"
BUSC,99900.0002910375,10,8,8,0.11111111111111116,"[30, 42, 46, 50, 13, 42, 68, 68, 38, 19]"
AFFN,99900.0002910375,10,10,9,0.0,"[61, 5, 56, 50, 13, 42, 45, 68, 38, 35]"
