Security,Block,EventType,Future_Return,prob_drop_hgb,prob_acq_hgb,prob_all_hgb
GRHI,6,dropout,71499.984375,0.9100473422372184,,
ITCJ,6,dropout,-90.0,0.8927809559191565,,
ATNPQ,6,dropout,899.9998168945312,0.8288025887818902,,
MSET,6,dropout,12899.998046875,0.8245762352285555,,
RDCO,6,dropout,200.00003051757812,0.8116913355085168,,
ZNNC,6,dropout,408.4033508300781,0.8171597388886802,,
RMTN,6,dropout,106.9536361694336,0.7672108207051412,,
NFSE,6,dropout,-95.53571319580078,0.79455711608142,,
QRSM,6,dropout,-80.37255096435547,0.732109816180696,,
LCCN,6,dropout,310.0,0.6801601207209365,,
URBF,6,dropout,-67.74193572998047,0.6763672970142335,,
AGTT,6,dropout,50.000030517578125,0.6840873823999507,,
MOHCY,6,dropout,15.256793975830078,0.695514421211483,,
XEPRF,6,dropout,0.0,0.6921356570666843,,
VIAAY,6,dropout,32.64387512207031,0.7151631589084914,,
OICT,6,dropout,24650.0,0.7151954462916714,,
GUNGF,6,dropout,26.452926635742188,0.6820603250139545,,
PCRBF,6,acquisition,2.7777886390686035,,0.9310646862901704,
SWMD,6,acquisition,0.0,,0.8308858044520545,
SFBI,6,acquisition,-80.0,,0.7445375674742949,
FKWL,6,acquisition,-42.252784729003906,,0.7646199069254346,
IPKL,6,acquisition,426.3157958984375,,0.7575266245404828,
SNYYF,6,acquisition,69.9703598022461,,0.7847442748044499,
DLTA,6,acquisition,-99.98778533935547,,0.8047118164349821,
SNANF,7,dropout,-92.4065933227539,0.6943019560250798,,
HDST,7,dropout,-66.66667175292969,0.7006275106273402,,
CAFS,7,dropout,332.59222412109375,0.7061607991674796,,
VIZG,7,dropout,0.0,0.7224898269601531,,
HCKG,7,dropout,-20.754716873168945,0.7989203909795347,,
GIPL,7,dropout,-86.875,0.8264392636359532,,
BBLKF,7,dropout,-99.1176986694336,0.7942880651353661,,
CFIGF,7,dropout,10.337080001831055,0.7407514338692375,,
DJCO,7,acquisition,-6.134777069091797,,0.9329533559355693,
HNHPF,7,acquisition,-23.009159088134766,,0.9382089537947201,
ROHCY,7,acquisition,-19.644289016723633,,0.9093970257554774,
IBKR,7,acquisition,11.072089195251465,,0.9296955412617597,
JSNSF,7,acquisition,-1.946839451789856,,0.882411539728401,
FWONB,7,acquisition,56.47573471069336,,0.8793427019843687,
PBNK,7,acquisition,20.706924438476562,,0.8609636798645242,
ARKAF,7,acquisition,-18.690881729125977,,0.90916749626624,
PWP,7,acquisition,-4.418076038360596,,0.8554067244034309,
GNTY,7,acquisition,-8.865241050720215,,0.8533723391690757,
TALK,7,acquisition,-90.8355484008789,,0.8482824704533359,
MLAB,7,acquisition,-33.61628723144531,,0.8466547814128159,
HOCPF,7,acquisition,-11.086755752563477,,0.845752749791939,
RGLXF,7,acquisition,0.0,,0.844397544346754,
CFB,7,acquisition,-3.941448450088501,,0.8407542303718429,
OPFI,7,acquisition,-78.56371307373047,,0.8583319722873699,
BYDGF,7,acquisition,-11.391103744506836,,0.8399112713945486,
HELE,7,acquisition,-49.75572967529297,,0.8376718343197141,
SIUAF,7,acquisition,-42.34595489501953,,0.8351312749606319,
ORXGF,7,acquisition,-15.776483535766602,,0.8354781585370282,
ISDAY,7,acquisition,28.129976272583008,,0.8322306811345944,
SNDVF,7,acquisition,6.0011091232299805,,0.8309721662986378,
DTNOY,7,acquisition,39.140037536621094,,0.8301033442461461,
OIIIF,7,acquisition,-44.543121337890625,,0.8293797988308258,
BSPDY,7,acquisition,25.034704208374023,,0.8223234403168191,
BHC,7,acquisition,-72.37330627441406,,0.817704438417871,
SSEZY,7,acquisition,9.498717308044434,,0.8127919536843168,
AGLDF,7,dropout,-76.40521240234375,0.6671736978017875,,
SRUS,7,dropout,-39.27492904663086,0.6641054001316881,,
NTME,7,dropout,-99.99285888671875,0.6598065876363938,,
CTNI,7,dropout,-73.98542785644531,0.9259144673237504,,
KOVR,7,dropout,-97.67442321777344,0.7789339625774442,,
SSEZF,7,acquisition,11.367329597473145,,0.8070581386417076,
PIAIF,7,acquisition,-43.84883117675781,,0.8090063107974585,
GCMG,7,acquisition,-35.918212890625,,0.8097518861334722,
IBTN,7,acquisition,44.03770446777344,,0.8102902591775676,
KEP,7,acquisition,-33.76252365112305,,0.8125285822881748,
UZAPF,7,acquisition,-1.8305115699768066,,0.804872290081107,
SHECY,7,acquisition,-14.622262001037598,,0.8050995487419305,
MIELY,7,acquisition,-28.288867950439453,,0.806757464435207,
KFS,7,acquisition,106.60481262207031,,0.8010376647310512,
RDVA,7,acquisition,-81.13663482666016,,0.79949894891724,
BTDPF,7,acquisition,-44.66518020629883,,0.7986645632495665,
WKCMF,7,acquisition,16.06391143798828,,0.7985359887962049,
ADSK,7,acquisition,-20.978342056274414,,0.795920876796826,
HCAT,7,acquisition,-71.35643005371094,,0.8042277616742799,
KOGL,7,acquisition,16.666667938232422,,0.8039500448084441,
BME,7,acquisition,-6.72698450088501,,0.8061348091328553,
JSAIY,7,acquisition,-4.197115898132324,,0.7918258806121126,
NICK,7,acquisition,-38.953086853027344,,0.7915000882095189,
CNPRF,7,acquisition,-40.600921630859375,,0.7909685275747989,
OMCC,7,acquisition,-38.95594024658203,,0.7915000882095189,
