Variable Name,State,Price,Volume,Type,RPS,End Timepoint,Entry_Price,Exit_Price,Entry_Timepoint,Exit_Timepoint,Holding_Period,Final_Return,Positive_Return_Count,Position_Closed
ACLX,4.0603056246400655,33.869998931884766,399650.0,Short,0,2201,33.34000015258789,35.59000015258789,2202,2222,20,-0.06748650239059319,0,False
AESI,4.331709205750794,19.65999984741211,335860.0,Short,0,2201,19.520000457763672,21.030000686645508,2202,2222,20,-0.07735656728846362,0,False
AMLX,3.867263222318716,22.82999992370605,1133650.0,Short,0,2201,22.540000915527344,21.170000076293945,2202,2211,9,0.06078086883703864,5,True
APGE,3.757707937102333,21.030000686645508,635720.0,Short,0,2201,20.75,23.75,2202,2222,20,-0.14457831325301204,2,False
ATAT,4.1589605083303045,19.56999969482422,302200.0,Short,0,2201,20.540000915527344,20.309999465942383,2202,2218,16,0.011197733171038463,5,True
ATMU,4.496439211115389,24.520000457763672,273380.0,Short,0,2201,24.5,22.280000686645508,2202,2207,5,0.09061221687161193,5,True
BAM,5.030876752053435,34.13999938964844,1048650.0,Short,0,2201,33.84000015258789,32.900001525878906,2202,2207,5,0.02777773707063942,5,True
BHVN,4.756444191840004,23.799999237060547,924080.0,Short,0,2201,19.049999237060547,19.25,2202,2222,20,-0.01049872813382399,1,False
BJDX,4.73495048457795,56.880001068115234,134746.0,Short,0,2201,62.63999938964844,60.47999954223633,2202,2214,12,0.034482756520732974,5,True
BLCO,3.946952335268585,19.540000915527344,369480.0,Short,0,2201,19.739999771118164,18.690000534057617,2202,2208,6,0.05319145132903262,5,True
BRZE,5.615534374900663,44.68999862670898,553150.0,Short,0,2201,44.290000915527344,40.38999938964844,2202,2209,7,0.0880560272129421,5,True
CAVA,6.453274262119448,51.630001068115234,1889820.0,Short,0,2201,52.90999984741211,47.84999847412109,2202,2213,11,0.0956341218651225,5,True
CEG,5.079766010212215,97.33999633789062,1824130.0,Short,0,2201,95.73999786376952,105.87000274658205,2202,2222,20,-0.1058074483898227,1,False
COCO,4.6066136818130765,26.059999465942383,368530.0,Short,0,2201,26.530000686645508,24.57999992370605,2202,2207,5,0.0735017230482408,5,True
CR,5.220929285250867,93.5199966430664,333130.0,Short,0,2201,94.25,89.73999786376953,2202,2207,5,0.04785148155151691,5,True
CRBG,4.1830576219178175,19.270000457763672,1285850.0,Short,0,2201,18.920000076293945,18.31999969482422,2202,2212,10,0.031712493607307365,5,True
EE,4.167621120886589,20.76000022888184,145740.0,Short,0,2201,20.979999542236328,19.5,2202,2214,12,0.07054335436265553,5,True
EMBC,3.419213607774532,21.290000915527344,688820.0,Short,0,2201,21.280000686645508,20.600000381469727,2202,2213,11,0.03195490052791787,5,True
ESAB,4.937646967616544,67.5,250710.0,Short,0,2201,67.5,68.9800033569336,2202,2222,20,-0.021925975658275462,0,False
FG,5.3675446253130135,25.76000022888184,100260.0,Short,0,2201,26.600000381469727,27.989999771118164,2202,2222,20,-0.05225561540280083,3,False
FLNC,5.060762143189022,28.06999969482422,1049540.0,Short,0,2201,27.32999992370605,24.34000015258789,2202,2214,12,0.10940357773380868,5,True
FTRE,5.169777695166672,33.099998474121094,1544780.0,Short,0,2201,31.729999542236328,30.209999084472656,2202,2208,6,0.04790420673471407,5,True
GEHC,4.405259787616987,77.43000030517578,3524480.0,Short,0,2201,77.87000274658203,75.58999633789062,2202,2208,6,0.029279649778765203,5,True
