Security,Event_Date,Block,Window_Days,Avg_Return,Days_Elapsed,Annual_Return,Cluster_Size,Members_Traded
A,2017-05-22,2,250,40.50583072425415,360.0,41.171054053157285,2,2
A,2017-05-22,2,500,-47.109604374416634,724.0,-27.465907946029255,2,2
A,2017-05-22,2,750,-53.18265847399576,1087.0,-22.495483154320482,2,2
A,2018-07-31,4,250,-56.839356371109744,363.0,-57.03870366362176,2,2
A,2018-07-31,4,500,-42.69304084218568,726.0,-24.41465724929961,2,2
A,2018-07-31,4,750,-46.01390375034271,1087.0,-18.69750635303533,2,2
AA,2017-05-22,2,250,40.50583072425415,360.0,41.171054053157285,2,2
AA,2017-05-22,2,500,-47.109604374416634,724.0,-27.465907946029255,2,2
AA,2017-05-22,2,750,-53.18265847399576,1087.0,-22.495483154320482,2,2
AA,2018-07-31,4,250,-56.839356371109744,363.0,-57.03870366362176,2,2
AA,2018-07-31,4,500,-42.69304084218568,726.0,-24.41465724929961,2,2
AA,2018-07-31,4,750,-46.01390375034271,1087.0,-18.69750635303533,2,2
AACAF,2017-05-22,2,250,35.28301543890697,360.0,35.85201935715321,1,1
AACAF,2017-05-22,2,500,-48.490567531565276,724.0,-28.42694695087665,1,1
AACAF,2017-05-22,2,750,-51.79245330549804,1087.0,-21.730189291906488,1,1
AACAF,2018-07-31,4,250,-55.68181677438852,363.0,-55.88007741095955,1,1
AACAF,2018-07-31,4,500,-40.66558341027752,726.0,-23.081848496450664,1,1
AACAF,2018-07-31,4,750,-50.56817935517991,1087.0,-21.068286948324566,1,1
AACAY,2017-05-22,2,250,45.72864600960134,360.0,46.492836150747664,1,1
AACAY,2017-05-22,2,500,-45.728641217268,724.0,-26.51723282881693,1,1
AACAY,2017-05-22,2,750,-54.572863642493466,1087.0,-23.276023996517715,1,1
AACAY,2018-07-31,4,250,-57.996895967830966,363.0,-58.197158704157935,1,1
AACAY,2018-07-31,4,500,-44.72049827409384,726.0,-25.77112643165387,1,1
AACAY,2018-07-31,4,750,-41.45962814550552,1087.0,-16.456113972991215,1,1
AAGIY,2017-05-22,2,250,40.50583072425415,360.0,41.171054053157285,2,2
AAGIY,2017-05-22,2,500,-47.109604374416634,724.0,-27.465907946029255,2,2
AAGIY,2017-05-22,2,750,-53.18265847399576,1087.0,-22.495483154320482,2,2
AAIGF,2017-05-22,2,250,40.50583072425415,360.0,41.171054053157285,2,2
AAIGF,2017-05-22,2,500,-47.109604374416634,724.0,-27.465907946029255,2,2
AAIGF,2017-05-22,2,750,-53.18265847399576,1087.0,-22.495483154320482,2,2
AAL,2017-05-22,2,250,40.50583072425415,360.0,41.171054053157285,2,2
AAL,2017-05-22,2,500,-47.109604374416634,724.0,-27.465907946029255,2,2
AAL,2017-05-22,2,750,-53.18265847399576,1087.0,-22.495483154320482,2,2
AAL,2018-07-31,4,250,-56.839356371109744,363.0,-57.03870366362176,2,2
AAL,2018-07-31,4,500,-42.69304084218568,726.0,-24.41465724929961,2,2
AAL,2018-07-31,4,750,-46.01390375034271,1087.0,-18.69750635303533,2,2
