Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
A,7,True,44.052483,DROP,44.8197,45.475,1993537.0,1766500.0,0.05316395
A,8,True,31.800186,DROP,46.8909,46.575,2014662.5,1818250.0,0.04760284
A,20,True,46.264805,DROP,72.4513,71.695,2433252.5,2159350.0,0.0757707
A,25,True,58.48645,DROP,81.925446,82.18,1994190.5,1789950.0,0.08647044
A,28,True,18.1685,DROP,105.69455,103.649994,1594047.5,1407350.0,0.12425207
A,31,False,-13.307542,DROP,140.3888,134.025,1641127.0,1484850.0,0.12618181
A,32,False,-0.7445786,DROP,148.51076,150.125,1608911.0,1456100.0,0.10237267
A,33,True,3.280601,DROP,151.92505,151.675,1721124.0,1521350.0,0.079762064
A,6,True,44.277966,ACQ,42.95515,44.445,2080174.5,1792600.0,0.09016393
A,19,True,20.694244,ACQ,71.7378,70.46,2368801.5,2101100.0,0.08087012
A,24,True,57.569458,ACQ,77.7217,77.06,2150565.5,1913250.0,0.07785143
A,27,True,28.158812,ACQ,93.5076,96.345,1798555.0,1551600.0,0.14967011
A,30,False,-16.348988,ACQ,126.65814,125.835,1670819.0,1484850.0,0.102984965
AA,7,True,86.853966,DROP,24.891977,24.22224,8352115.46,7391448.0,0.112696856
AA,9,True,47.73069,DROP,30.058506,31.060001,6022787.47,4816679.0,0.16638437
AA,10,True,7.9332976,DROP,32.617233,32.945,4745815.01,3824150.0,0.112293154
AA,14,False,-52.71618,DROP,47.54675,47.39,4170260.5,3696250.0,0.10202791
AA,28,True,191.14857,DROP,16.372448,14.49,6517549.5,5731750.0,0.31161028
AA,33,False,-35.227413,DROP,48.7973,47.555,8065240.5,7079100.0,0.23002195
AA,35,False,-27.03665,DROP,61.195255,59.21,7863457.0,6844100.0,0.23632917
AA,6,True,123.35324,ACQ,22.770428,23.0688,10587643.785,9206450.5,0.10693152
AA,8,True,31.628033,ACQ,27.813105,25.427746,6879435.235,5710070.5,0.18745773
AA,12,False,-50.62187,ACQ,38.97215,37.46,3998786.5,3637700.0,0.15915875
AA,13,False,-37.771095,ACQ,43.35275,44.690002,3948369.0,3573800.0,0.157032
AA,27,True,145.76584,ACQ,12.454651,12.440001,7408839.5,6799650.0,0.35137907
AA,32,False,-19.56317,ACQ,41.15245,40.075,7756353.0,6728750.0,0.16632546
AA,34,False,-39.36225,ACQ,59.410103,54.395,8008380.0,7070900.0,0.26008204
AAALY,30,True,27.069828,DROP,24.273203,26.24,7.875,0.0,0.15225545
AAALY,31,True,22.390205,DROP,26.3932,27.78,7.875,0.0,0.09293918
AAALY,36,True,1.9117693,DROP,34.25625,35.3,21.425,0.0,0.035901234
AAALY,37,False,0.0,DROP,34.523,35.3,18.025,0.0,0.028543847
AAALY,28,True,23.094511,ACQ,20.4804,19.3,8.505,0.0,0.12097203
AAALY,29,True,27.069828,ACQ,22.1532,19.3,4.445,0.0,0.1580926
AAALY,34,False,-1.8413533,ACQ,31.796001,32.3,31.17,0.0,0.08133718
AAALY,35,False,-1.8413533,ACQ,33.675995,33.45,31.17,0.0,0.04373158
AABB,1,True,66.67527,DROP,0.015414295,0.014528,2061.845,0.0,0.22902663
AABB,6,False,-85.00335,DROP,0.01128327,0.00862,971.155,0.0,0.44871432
AABB,13,True,82.01856,DROP,0.0032395301,0.002905,1141.34,0.0,0.29942498
AABB,16,False,-88.777824,DROP,0.026303042,0.016368,80625.735,9446.0,0.90920645
AABB,17,False,-73.64334,DROP,0.03244035,0.029057,112241.845,49014.5,0.6592235
AABB,27,True,3776.2178,DROP,0.0032443851,0.0030505,22209712.32,10880837.5,0.44268888
AABB,29,False,-57.237137,DROP,0.07941673,0.0069004996,55832038.915,29387829.0,1.4379706
AABB,30,False,-42.69948,DROP,0.113408454,0.113267004,49660241.6,26849884.0,0.9516301
AABB,31,False,-64.088844,DROP,0.14138745,0.122574,49233302.44,23984577.0,0.62616044
AABB,32,False,-83.573586,DROP,0.16152278,0.1425245,33502139.785,19892462.0,0.37967902
AABB,5,False,-66.29931,ACQ,0.009186269,0.008232,3976.605,0.0,0.3992219
AABB,12,True,158.03386,ACQ,0.003092755,0.002905,848.13,0.0,0.18649265
AABB,14,False,-11.643967,ACQ,0.00519873,0.002905,5899.855,0.0,0.7193625
AABB,15,False,-92.80073,ACQ,0.012512689,0.007506,47781.29,0.0,1.1758366
AABB,26,True,2775.2195,ACQ,0.003010335,0.0026874999,18333595.28,6309567.5,0.47564983
AABB,28,False,-36.82392,ACQ,0.02420128,0.003971,46621813.15,22366143.0,2.8891866
AABVF,6,True,8.333332,DROP,0.113649994,0.12,33429.5,2000.0,0.19289172
AABVF,7,True,27.272728,DROP,0.121400006,0.12,35621.0,5000.0,0.10249118
AABVF,8,True,50.000008,DROP,0.119049996,0.12,20461.5,3000.0,0.07224213
AABVF,29,False,-61.11111,DROP,0.11395001,0.065,32143.5,5000.0,0.8135895
AABVF,31,False,-75.0,DROP,0.18685001,0.18,29596.5,7300.0,0.30277586
AABVF,4,False,-9.090907,ACQ,0.09630001,0.09,23005.0,0.0,0.20854612
AABVF,5,False,-15.384613,ACQ,0.10569999,0.1,29823.0,1000.0,0.21429676
AABVF,25,True,340.0,ACQ,0.029499998,0.03,9584.5,0.0,0.3870973
AABVF,26,True,300.0,ACQ,0.032,0.03,13494.0,0.0,0.3875111
AABVF,27,True,42.857143,ACQ,0.03345,0.03,13264.0,0.0,0.38683572
AABVF,28,False,-64.28572,ACQ,0.0727,0.04,31909.0,1900.0,1.032727
AABVF,30,False,-77.27273,ACQ,0.157,0.17,29147.5,6400.0,0.561662
AACAF,1,True,53.616356,DROP,5.98665,5.94,633.5,0.0,0.088202775
AACAF,4,True,23.28767,DROP,6.60735,6.58,1295.0,0.0,0.09440461
AACAF,7,True,102.82485,DROP,8.91285,8.765,1558.5,0.0,0.14227758
AACAF,13,False,-70.10979,DROP,16.7833,17.654999,1743.0,200.0,0.18149693
AACAF,32,False,-38.87468,DROP,5.2607503,5.02,404.0,0.0,0.19025096
AACAF,3,True,52.387844,ACQ,6.14735,6.28,911.5,0.0,0.09527323
